식품명,1회제공량,에너지(㎉),단백질(g),지방(g),탄수화물(g)
비단백합,100,-,10.6,-,-
비틀대모자반,100,-,-,-,-
비틀대모자반,100,-,25.8,-,-
빙어,100,85,18.4,0.8,-
빨간횟대,100,-,-,-,1.7
빨간횟대,100,74,17.1,0.1,-
빨강부치,100,71,15.8,0.5,-
빨강오징어,100,-,-,-,0.4
빨강오징어,100,-,16.5,-,-
뿔돔,100,97,18,2.2,-
뿔돔,100,-,19.5,-,-
사당놀래기,100,104,20.3,1.9,-
산천어,100,-,-,-,-
산천어,100,-,-,-,7
산천어,100,117,20.3,3.3,-
살살치,100,70,15.5,0.2,-
살살치,100,-,-,-,0.6
살오징어,100,-,-,-,-
살오징어,100,-,-,-,-
살오징어,100,72,15.7,0.5,-
살오징어,100,-,-,-,1.5
살오징어-소건품,100,352,67.8,6.9,-
살오징어-소건품,100,-,61.6,-,-
살오징어-소건품,100,-,-,-,6
살오징어-수컷,100,-,18.6,-,-
살오징어-수컷,100,-,18.2,-,-
살오징어-수컷,100,-,18.4,-,-
살오징어-수컷,100,-,19,-,-
살오징어-수컷,100,-,18.1,-,-
살오징어-수컷,100,-,19.1,-,-
살오징어-수컷,100,-,18.3,-,-
살오징어-수컷,100,-,20.2,-,-
살오징어-수컷,100,-,19.3,-,-
살오징어-암컷,100,-,19.3,-,-
살오징어-암컷,100,-,18.4,-,-
살오징어-암컷,100,-,18.1,-,-
살오징어-암컷,100,-,19.1,-,-
살오징어-암컷,100,-,16.7,-,-
살오징어-암컷,100,-,19.5,-,-
살오징어-암컷,100,-,18.9,-,-
살오징어-암컷,100,-,19.6,-,-
살오징어-암컷,100,-,18.6,-,-
살오징어-젓갈,100,77,14.3,0.9,-
살오징어-조미훈제품,100,215,34.4,2,-
살조개,100,-,-,-,1.6
살조개,100,89,14.2,1.5,-
삼세기,100,97,18.6,1.8,-
삼세기,100,-,-,-,1.8
삼세기,100,-,17.9,-,-
삼세기,100,-,-,-,-
삼치,100,-,-,-,-
삼치,100,-,20.1,-,-
삼치,100,108,19,2.7,-
삼치,100,-,-,-,5
삼치-보통육,100,-,-,-,-
삼치-혈합육,100,-,-,-,-
상괭이,100,-,26.2,-,2.2
새꼬막,100,-,-,-,1.4
새꼬막,100,-,-,-,-
새꼬막,100,-,-,-,-
새꼬막,100,-,-,-,-
새꼬막,100,-,-,-,-
새꼬막,100,-,-,-,-
새꼬막,100,-,-,-,-
새꼬막,100,-,-,-,-
새꼬막,100,-,12.3,-,-
새꼬막,100,87,11.9,1.7,-
새날치,100,-,23.8,-,-
새다래,100,-,23.1,-,-
새다래,100,104,18.9,2.6,4.6
새조개,100,-,-,-,0.6
새조개,100,114,21.5,1.9,-
새조개,100,-,11.8,-,-
샛돔,100,121,16.3,5.5,9.5
샛돔,100,-,19,-,-
샛멸,100,-,-,-,5.2
서실,100,-,-,-,-
서실,100,-,23.4,-,-
석묵-소건품,100,148,9.6,0.2,-
선홍치,100,-,22.1,-,-
성대,100,94,19.9,1,-
성대,100,-,19.8,-,-
성대,100,-,-,-,2.1
성대,100,-,-,-,-
세고리물레고둥,100,74,15,0.1,0.1
소라,100,-,-,-,-
소라,100,-,-,-,1.2
소라,100,107,20.7,0.3,-
소라,100,-,17.3,-,-
소라-근육,100,-,-,-,-
소라-내장,100,-,-,-,-
송어,100,121,21,3.4,-
송어,100,-,-,-,4.5
쇠갑오징어,100,79,16.9,0.7,0.7
쇠돌고래,100,-,25.5,-,2.3
쇠미역,100,-,1.7,-,0.3
쇠미역,100,-,-,-,-
쇠미역-소건품,100,-,15.1,-,0.5
수랑,100,86,15.9,0.7,-
수조기,100,-,-,-,4.4
수조기,100,-,17.7,-,-
순채,100,25,2.5,0.7,-
술봉가자미,100,84,16.8,1.4,-
숭어,100,-,-,-,-
숭어,100,-,-,-,2
숭어,100,107,21.7,1.5,-
숭어,100,-,20,-,-
실꼬리돔,100,-,-,-,0.4
실꼬리돔,100,-,21.8,-,-
실꼬리돔,100,107,19.8,2.5,-
쌍동가리,100,-,-,-,3.2
쌍동가리,100,101,20.8,1.4,-
쌍뿔달재,100,75,16.9,0.4,-
쏘가리,100,-,20,-,-
쏘가리,100,-,-,-,-
쏘가리,100,-,-,-,-
쏘가리,100,-,-,-,-
쏘가리,100,-,-,-,-
쏘가리,100,-,-,-,-
쏘가리,100,-,-,-,-
쏘가리,100,-,-,-,-
쏘가리,100,111,17.2,4.1,-
쏘가리-알,100,-,17.3,-,-
쏙,100,-,-,-,0.8
쏙,100,-,11.1,-,-
쏙,100,-,-,-,-
쏙,100,85,14.9,0.8,-
쏨뱅이,100,-,-,-,-
쏨뱅이,100,90,19.9,0.6,-
쑤기미,100,84,18.5,0.4,0.4
쑥감펭,100,-,-,0,-
쑥감펭,100,83,19,0.3,-
아귀,100,63,14.1,0.2,-
아귀,100,-,-,-,0.4
아귀,100,-,13.2,-,-
아귀-간,100,-,-,-,50.7
아귀-간,100,432,10.4,39,-
아귀-간,100,-,-,-,-
아귀-근육,100,-,-,-,-
아귀-내장,100,-,-,-,-
아귀-대창,100,-,-,-,-
아귀-조미건품(포),100,304,41.2,1.3,1.3
아홉동가리,100,-,-,-,6
아홉동가리,100,106,19.8,2.3,-
악상어,100,284,13.4,24.2,-
애기삿갓조개,100,-,16,-,1.9
애기청각,100,-,-,-,-
애꼬치,100,-,-,-,0.6
양미리,100,123,21.5,3.4,-
양미리-반건품,100,-,23.4,-,-
양태,100,-,20,-,-
양태,100,87,20,0.2,0.2
어름돔,100,94,19.5,1.2,-
어름돔,100,-,18.9,-,-
얼룩통구멍,100,82,18.2,0.5,-
얼룩통구멍,100,-,19.4,-,-
여덟동가리,100,110,19.2,3.1,-
연어,100,-,19.4,-,-
연어,100,106,20.6,1.9,-
연어-알,100,-,24.3,-,-
연어-통조림(기름담금),100,204,14.9,14.9,-
연어-통조림(조미),100,-,-,-,6.8
연어-훈제품,100,174,21.8,8.2,8.2
연어병치 (수정수정),100,-,30,-,-
열쌍동가리,100,86,18.3,0.9,-
염주알다슬기,100,-,-,-,-
염주알다슬기,100,113,12.7,1.4,1.4
오분자기,100,-,-,-,2.2
오분자기,100,-,-,-,-
오분자기,100,95,13.3,2.1,-
옥돔,100,82,18.1,0.2,0.2
옥돔,100,-,18.6,-,-
옥돔-반건품,100,104,19.5,2.3,-
옥돔-염장품,100,-,16,-,3.6
왕게,100,67,13.7,0.7,-
왕우럭조개,100,-,-,-,0.9
왕우럭조개,100,101,16.4,2.2,-
왕우렁,100,66,10.6,0.9,-
용가자미,100,-,-,-,0.6
용가자미,100,-,-,-,-
용가자미,100,82,18.1,0.6,-
용서대,100,-,-,-,1.2
용치놀래기,100,85,19.3,0.2,0.2
용치놀래기,100,-,19.3,-,-
우각바리,100,91,19,1.2,-
우럭,100,-,-,-,-
우럭,100,99,16.3,2,-
우럭,100,-,16.1,-,-
우럭볼락,100,-,19.3,-,-
우럭볼락,100,-,-,-,3.4
우럭볼락,100,88,18.3,1.1,-
우뭇가사리,100,-,-,-,-
우뭇가사리,100,-,-,-,-
우뭇가사리,100,52,4.2,0.2,-
우뭇가사리,100,-,14.9,-,-
우뭇가사리-우무,100,2,0.1,0,-
우뭇가사리-한천,100,154,2.3,0.1,-
웅어,100,-,16.8,-,-
웅어,100,169,15.9,10.8,-
위고둥,100,-,17.9,-,-
위고둥,100,66,11.2,1.5,-
육동가리돔,100,98,18.6,2.6,-
은상어,100,101,22.9,0.5,-
은어,100,114,16.7,4.5,-
은어-양식산,100,-,-,-,9.6
은연어,100,106,21.7,1.4,-
인상어,100,133,21.8,4.2,-
임연수어,100,152,19.6,7.1,-
임연수어,100,-,18.6,-,-
잇바디돌김-소건품,100,-,-,-,0.4
잉어,100,-,-,-,-
잉어,100,-,19.9,-,-
잉어,100,113,17.5,4,-
잉어-근육,100,-,-,-,1.4
잉어-알,100,-,25.3,-,2.7
잉어-알,100,-,-,-,-
자라-국내산,100,-,-,-,1.5
자라-수입산,100,-,-,-,1.4
자리돔,100,88,19.5,0.4,0.4
자리돔-젓갈,100,151,11.3,4.6,4.6
자바리,100,106,20.1,1.8,-
자주복,100,-,-,-,-
자주복,100,83,18.8,0.2,0.2
자주복,100,-,17.9,-,-
자주복-양식산,100,-,-,-,0.9
자주복-자연산,100,-,-,-,0.8
장갱이,100,-,-,-,-
장갱이,100,90,19.1,1,5.6
장어베도라치,100,135,19.3,5.4,10.4
재첩,100,94,12.5,1.9,-
재첩,100,-,12.1,-,-
재첩,100,-,-,-,1.4
재첩-민물,100,-,-,-,-
재첩-해수,100,-,-,-,-
잿방어,100,105,22.5,0.8,0.8
전갱이,100,-,-,-,-
전갱이,100,-,-,-,0.4
전갱이,100,133,20.7,4.8,-
전갱이,100,-,18.6,-,-
전갱이,100,-,-,-,-
전갱이,100,-,20.7,-,-
전갱이-매가리,100,-,-,-,8.3
전갱이-매가리,100,99,19.9,1.5,-
전갱이-보통육,100,-,-,-,-
전갱이-염건품,100,262,46,6.9,-
전갱이-혈합육,100,-,-,-,-
전기가오리,100,64,13,1,-
전어,100,-,-,-,-
전어,100,107,19.2,2.7,2.7
전어,100,-,18.7,-,-
전어-젓갈,100,130,15.3,6.7,-
점감펭,100,90,19.4,0.7,-
점농어,100,129,18.5,5.2,7.2
점농어,100,-,19.1,-,-
점줄우럭,100,100,19.3,1.9,-
접시조개,100,-,-,-,0.9
접시조개,100,68,11.9,0.6,-
젓새우,100,62,9.6,1.2,-
정어리,100,-,-,-,3.2
정어리,100,-,19.8,-,-
정어리-가식부육,100,171,20,9.1,-
정어리-가식부육,100,167,19.9,8.9,-
정어리-가식부육,100,232,19.6,15.7,-
정어리-가식부육,100,187,18.1,12.1,-
정어리-가식부육,100,135,17.9,6.2,-
정어리-가식부육,100,159,19.9,8,-
정어리-가식부육,100,141,20.4,5.8,-
정어리-가식부육,100,132,21.3,4.5,-
정어리-보통육,100,-,-,-,-
정어리-전어체,100,179,17.5,11.1,-
정어리-전어체,100,187,16.2,12.7,-
정어리-전어체,100,232,15.8,17.6,-
정어리-전어체,100,208,16.8,14.6,-
정어리-전어체,100,164,19.7,8.6,-
정어리-전어체,100,148,18,7.7,-
정어리-전어체,100,130,18.5,5.5,-
정어리-혈합육,100,-,-,-,-
조각매물고둥,100,-,-,-,-
조각매물고둥,100,-,-,-,2.2
조각매물고둥,100,127,17.7,3.6,-
조각매물고둥-근육,100,-,-,-,0.5
조각매물고둥-내장,100,-,-,-,3.1
조개삿갓,100,-,-,-,-
조피볼락,100,-,-,-,2.4
조피볼락,100,-,19,-,-
조피볼락,100,121,21.4,3.2,-
조피볼락,100,-,-,-,-
졸복,100,83,18.9,0.1,-
졸복,100,-,-,-,4.1
좀주름다슬기,100,88,14,0.5,0.5
주꾸미,100,-,-,-,0.7
주꾸미,100,52,10.8,0.5,-
주꾸미-내장,100,-,16.4,-,-
주꾸미-혼합,100,-,15.8,-,-
주름다슬기,100,98,14.2,1.6,1.6
주름송편게,100,-,-,-,0.3
주름송편게,100,87,18.8,0.3,-
주먹물수배기,100,106,15.2,4.5,1.5
준치,100,-,-,-,4.8
준치,100,129,20.1,4.7,-
줄가자미,100,-,-,-,-
줄가자미,100,76,17.4,0.2,0.2
줄노래미,100,85,17.5,1.2,-
줄삼치,100,134,24.6,3.1,-
줄전갱이,100,112,24,1.1,-
중하,100,94,20.1,0.9,-
중하-자건품,100,300,54.4,6.2,-
중하-조미건품,100,331,28.5,2,-
쥐노래미,100,-,-,-,-
쥐노래미,100,119,21,3,3
쥐노래미,100,-,21,-,-
쥐치,100,-,-,-,-
쥐치,100,83,19.1,0.1,0.1
쥐치,100,-,19.8,-,-
쥐치-조미건품(포),100,333,24,0.7,0.7
지중해담치,100,-,12,-,1.6
지중해담치,100,-,9.2,-,-
지중해담치,100,-,8.2,-,-
지중해담치,100,-,9.2,-,-
지중해담치,100,-,5.9,-,-
지중해담치,100,-,8.4,-,-
지중해담치,100,-,11.6,-,-
지중해담치,100,-,-,-,-
지중해담치,100,-,-,-,-
지중해담치,100,-,-,-,-
지중해담치,100,-,-,-,-
지중해담치,100,-,-,-,-
지중해담치,100,-,-,-,-
지중해담치,100,54,8.9,0.5,-
지채,100,-,2.1,-,-
지충이,100,-,-,-,-
지충이,100,-,2.9,-,0.1
진두발,100,-,-,-,-
진두발,100,-,9.1,-,0.2
진주담치,100,-,-,-,-
진주담치,100,-,-,-,1.6
진주담치,100,-,9.9,-,-
진주담치-소건품,100,-,25.3,-,-
진주담치-양식산,100,84,11.9,1.7,-
진주담치-자연산,100,75,10.3,1.1,-
진주조개,100,56,10.1,0.9,-
진흙새우,100,-,-,-,1.2
징거미새우,100,90,18.3,1.4,-
참가자미,100,-,-,-,-
참가자미,100,-,18.8,-,-
참가자미,100,85,19.4,0.2,0.2
참가자미-식해,100,120,13.8,2.4,2.4
참가자미-알,100,-,-,-,-
참게,100,-,11.1,-,1.5
참게,100,175,14.4,12,-
참굴,100,-,-,-,-
참굴,100,-,13.3,-,-
참굴,100,-,-,-,-
참굴,100,-,-,-,2.3
참굴,100,73,9.2,2.6,-
참굴-젓갈,100,95,8.6,2.7,-
참김,100,12,3.3,0.4,-
참김,100,-,-,-,-
참김,100,-,3.3,-,0.4
참김-소건품,100,165,38.6,1.7,-
참김-소건품,100,-,-,-,0.6
참김-조미건품,100,172,37.8,2.3,-
참다랑어,100,-,-,-,-
참다랑어,100,-,24.2,-,-
참다랑어,100,-,-,-,-
참다랑어,100,132,27.2,1.8,-
참다랑어-기름살(육),100,-,23.9,-,-
참다랑어-내장,100,-,19.5,-,-
참다랑어-등살(상),100,-,24.5,-,-
참다랑어-등살(상),100,-,-,-,13.2
참다랑어-등살(중),100,-,22.8,-,-
참다랑어-등살(중),100,-,-,-,10.1
참다랑어-등살(하),100,-,-,-,11.4
참다랑어-뱃살(상),100,-,21.8,-,-
참다랑어-뱃살(상),100,-,-,-,33
참다랑어-뱃살(중),100,-,23.4,-,-
참다랑어-뱃살(중),100,-,-,-,17.4
참다랑어-뱃살(하),100,-,24.2,-,-
참다랑어-뱃살(하),100,-,-,-,11.4
참다랑어-붉은살,100,-,24.8,-,-
참다슬기,100,-,-,-,-
참다슬기,100,76,12.3,0.4,-
참다슬기-국내산,100,-,-,-,0.2
참다슬기-수입산,100,-,-,-,0.4
참담치,100,-,-,-,1.1
참담치,100,82,13.8,1.2,-
참담치,100,-,-,-,-
참담치,100,-,10.4,-,-
참돌고래,100,-,-,-,2.4
참돔,100,-,-,-,-
참돔,100,82,18.4,0.1,-
참돔,100,-,21.5,-,-
참돔-알,100,-,7.6,-,-
참돔-양식산,100,-,-,-,6.5
참돔-양식산,100,-,-,-,-
참돔-자연산,100,-,-,-,4.3
참돔-자연산,100,-,-,-,-
참마자,100,90,17.7,1.5,-
참문어-내장,100,-,-,-,-
참문어-다리,100,-,13.2,-,-
참문어-몸통,100,-,16.6,-,-
참문어-소건품,100,-,62.4,-,-
참붕어,100,118,16.4,5.1,-
참서대,100,-,17.4,-,-
참서대,100,84,18.6,0.4,0.4
참서대-염건품,100,107,22.5,1,1
참조기,100,-,-,-,-
참조기,100,82,17.1,0.9,-
참조기,100,-,19.3,-,-
참조기,100,-,-,-,-
참조기-근육,100,-,17.7,-,3.5
참조기-알,100,-,22.9,-,6.2
참조기-염건품,100,-,16.5,-,-
참조기-염건품,100,332,44.4,15.2,-
참조기-염건품,100,-,-,-,9.7
참조기-젓갈,100,123,15.5,2.8,2.8
참홑파래-소건품,100,146,17.2,1.1,-
창꼴뚜기,100,70,14.7,0.5,0.5
창자파래-소건품,100,151,23.6,0.8,-
청각,100,-,-,-,-
청각,100,-,0.5,-,0.5
청각,100,-,-,-,-
청각,100,8,1.4,0.4,-
청각-소건품,100,137,13.8,0.8,-
청각-소건품,100,-,-,-,1.3
청멸,100,200,17.1,13.6,13.6
청멸,100,-,16.9,-,-
청보리멸,100,-,-,-,-
청보리멸,100,-,-,-,1
청보리멸,100,-,20.5,-,-
청보리멸,100,93,19.5,1.1,-
청상아리,100,-,20.4,-,-
청새리상어,100,101,18.5,2.4,-
청어,100,-,-,-,-
청어,100,-,17.8,-,-
청어,100,213,16.3,15.1,15.1
청어-근육,100,-,-,-,9.5
청어-동건품,100,349,25.2,24.5,-
청어-생식소,100,-,-,-,1.8
청어-생식소,100,-,-,-,-
청어-알,100,-,-,-,-
청어-알,100,-,-,-,-
청어-알,100,107,19.6,2.4,1.3
청자갈치,100,-,-,-,1.3
청자갈치,100,71,13.6,1.4,-
청줄돔,100,-,-,-,0.9
초록입홍합-수입산,100,-,-,-,4.6
초어,100,89,17.1,1.7,-
칠면초,100,-,1.2,-,0.7
칠성갈치,100,-,-,-,1.8
칠성갈치,100,92,16.8,2.2,-
콩깍지고둥,100,100,19.7,0.5,-
크릴,100,76,12.1,2.6,1.6
크릴-페이스트,100,130,16.5,5.5,1
큰가리비,100,-,-,-,-
큰가리비,100,-,16.8,-,-
큰가리비,100,-,-,-,0.9
큰가리비,100,81,15.2,1.7,-
큰구슬우렁이,100,76,17.4,0.1,0.1
큰논우렁이,100,71,9.8,1,-
큰논우렁이,100,-,11.5,-,-
키조개,100,-,-,-,-
키조개,100,57,10.3,1.1,-
키조개,100,-,-,-,-
키조개,100,-,-,-,-
키조개,100,-,-,-,-
키조개,100,-,-,-,-
키조개,100,-,-,-,-
키조개-전체(육),100,-,-,-,0.2
키조개-패주,100,-,-,-,-
키조개-패주,100,-,18.2,-,-
키조개-패주,100,70,12.4,1.1,1.1
탁자볼락,100,85,19.7,0.1,-
털게,100,-,-,-,0.7
털탑고둥,100,-,-,-,-
털탑고둥,100,145,20.7,3.7,-
털탑고둥,100,-,17,-,-
토굴,100,82,10.2,1.8,-
톱니모자반,100,-,-,-,-
톱니모자반,100,-,12.9,-,-
톳,100,16,1.9,0.4,-
톳,100,-,-,-,-
톳,100,-,-,-,0.2
톳-자건품,100,135,6.2,0.8,-
톳-자건품,100,-,-,-,0.9
통치,100,138,20,5.7,-
투라치,100,79,18.1,0.1,0.1
퉁퉁마디,100,-,1.1,-,0.5
틸라피아,100,-,-,-,-
틸라피아,100,126,19.3,4.7,-
틸라피아,100,-,19.7,-,-
팔완향오징어,100,66,14.1,0.6,-
펄닭새우,100,-,-,0.5,-
펄닭새우,100,61,13.2,0.6,-
펄조개,100,74,9.4,1,-
푸렁통구멍,100,76,17.4,0.2,0.2
푸렁통구멍,100,-,19.4,-,-
풀가사리,100,-,-,-,-
풀가사리,100,-,19.1,-,-
풀망둑,100,77,16.4,0.7,-
풀반지,100,167,16.9,10.1,14.1
풍선군소,100,43,7.7,0.9,-
피라미,100,105,18.5,2.8,-
피뿔고둥,100,-,-,-,-
피뿔고둥,100,110,17.9,0.2,0.2
피뿔고둥,100,-,15.5,-,-
피조개,100,-,-,-,-
피조개,100,-,11.1,-,1.5
피조개,100,-,-,-,-
피조개,100,66,11.6,0.6,-
피조개-내장,100,-,-,-,-
학공치,100,-,-,-,-
학공치,100,-,19.3,-,-
학공치,100,-,-,-,1.6
학공치,100,94,17.8,1.7,-
해마,100,-,-,-,-
해삼,100,-,4.7,-,-
해삼,100,25,4.4,0.3,-
해삼-내장,100,-,8.2,-,-
해삼-몸통,100,-,3.1,-,-
해삼-창자젓,100,45,7.7,1,-
해파리-염장품,100,35,4.9,0.5,-
향어,100,-,-,-,-
향어,100,-,-,-,-
향어,100,-,-,-,6.2
향어,100,-,18.6,-,-
향어,100,158,18.4,8.7,-
호박돔,100,-,-,-,0.6
호박돔,100,90,20.3,0.5,-
혹돔,100,-,20.2,-,-
혹돔,100,-,-,-,2.7
혹돔,100,114,19.2,2.7,-
혹부리고래,100,-,27.5,-,1.1
홍가자미-암컷,100,-,17.4,-,2.1
홍감펭,100,108,16.7,3.9,9.4
홍다리얼룩새우,100,-,-,-,0.7
홍어,100,87,19.6,0.5,-
홍어,100,-,19.2,-,0.4
홍어-간,100,-,-,-,30.1
홍치,100,93,18.9,1.4,-
홍해삼-창자,100,-,-,-,1.4
황놀래기,100,-,-,-,1.5
황놀래기,100,98,18.9,1.9,-
황다랑어,100,-,-,-,-
황다랑어,100,-,26,-,-
황다랑어,100,114,23.9,1.3,-
황다랑어-내장,100,-,20.6,-,-
황다랑어-통조림(기름담금),100,163,18.8,8.3,8.3
황돔,100,-,-,-,1.4
황돔,100,102,20.2,1.7,-
황돔,100,-,-,-,-
황매퉁이,100,97,20,1.3,-
황새치,100,-,-,-,-
황소개구리-다리살,100,75,16.1,0.4,-
황아귀,100,-,-,-,0.4
황아귀,100,71,16.3,0.2,-
황아귀,100,-,16.3,-,-
황어,100,-,19.4,-,-
황어,100,95,18.3,1.8,-
황점볼락,100,-,-,-,0.2
황점볼락,100,102,21.3,1.3,-
황줄돔,100,97,19.3,1.6,-
흉상어,100,112,23.5,1.4,-
흑대기,100,-,-,-,-
흰꼬리볼락,100,-,-,-,1.5
흰다리새우,100,-,-,-,0.9
흰다리새우,100,-,-,-,-
흰다리새우,100,105,21.2,0.9,-
흰점복,100,-,-,-,0.2
흰점복,100,72,15.9,0.5,-
히메치,100,99,20.9,1.1,-
히메치,100,-,-,-,0.9
가시파래-소건품,100,136,20,0.7,-
굴(참굴),100,-,-,-,-
굴(참굴),100,-,6.1,-,-
굴(참굴),100,-,5.8,-,-
굴(참굴),100,-,9.9,-,-
굴(참굴),100,-,8.4,-,-
굴(참굴),100,-,8.3,-,-
굴(참굴),100,-,9.4,-,-
멍게(우렁쉥이)-국내산,100,40,6.7,0.6,-
멍게(우렁쉥이)-내장,100,-,-,-,-
멍게(우렁쉥이)-수입산,100,64,8.4,1.9,-
멍게(우렁쉥이)-수입산,100,-,-,-,0.9
멍게(우렁쉥이)-육질부,100,-,-,-,-
메기-알,100,-,26.2,-,-
메기-양식산,100,-,-,-,-
메기-양식산,100,-,17.6,-,-
메기-양식산,100,-,-,-,5.4
보라성게-알젓,100,150,18.3,4.5,-
북방전복,100,-,-,-,1.1
북방전복,100,91,15,0.7,-
북방전복,100,-,-,-,-
북방전복,100,-,16.5,-,-
살오징어-간,100,-,-,-,-
살오징어-간,100,-,-,-,18.8
새우젓(새우류)-젓갈,100,-,-,-,0.7
연어-수입산 통조림(조미),100,-,9.5,-,-
오만둥이,100,-,-,-,-
오만둥이,100,54,9,0.7,0.7
참갑오징어,100,-,-,-,-
참갑오징어,100,76,17.3,0.2,0.2
참갑오징어,100,-,17.4,-,-
참갑오징어,100,-,-,-,-
참갑오징어-소건품,100,339,66.8,4.7,-
참꼴뚜기,100,-,-,-,2.9
참꼴뚜기,100,78,13.6,1.8,-
참꼴뚜기-자건품,100,286,51.3,6.6,-
참꼴뚜기-자건품,100,-,51.3,-,-
참꼴뚜기-젓갈,100,88,16,2,-
참담치(홍합)-자건품,100,391,56.1,10.2,-
참담치(홍합)-자숙품,100,-,19.2,-,-
참도박,100,-,-,-,-
참도박,100,-,13.9,-,-
참문어,100,-,-,-,-
참문어,100,56,12.7,0.2,0.2
참문어,100,-,12.9,-,-
철모새우,100,90,18.5,0.9,-
청해삼,100,-,-,-,0.5
치어,100,-,15.6,-,-
피조개-근육,100,-,-,-,-
해삼-소건품,100,348,77.6,0.9,-
향어(이스라엘잉어)-알,100,-,25.8,-,-
홍해삼,100,-,-,-,1.1
화살꼴뚜기,100,-,-,-,-
화살꼴뚜기,100,-,15,-,-
황석어(강달이류)-젓갈,100,88,12,3.8,3.8
흑해삼,100,-,-,-,0.1
흑해삼,100,-,-,-,-
흑해삼-창자,100,-,-,-,2.1
젓새우-백하젓,100,55,10.4,0.9,-
