식품명,1회제공량,에너지(㎉),단백질(g),지방(g),탄수화물(g)
기름가자미-수컷,100,-,18.6,-,1.5
기름가자미-수컷,100,-,16.5,-,0.4
기름가자미-수컷,100,-,19.4,-,0.9
기름가자미-알,100,-,-,-,1.2
기름가자미-암컷,100,-,18.7,-,0.4
기름가자미-암컷,100,-,18.5,-,0.9
기름가자미-암컷,100,-,19,-,1.2
기름가자미-암컷,100,-,19.1,-,0.7
기름가자미-암컷,100,-,18.8,-,1.2
기름가자미-암컷,100,-,17.9,-,4.5
기름가자미-암컷,100,-,19,-,0.9
기름가자미-암컷,100,-,18.9,-,0.8
기름가자미-암컷,100,-,18.9,-,1.5
기름가자미-암컷,100,-,17.4,-,1
기름가자미-암컷,100,-,17.8,-,0.7
기름가자미-암컷,100,-,18.8,-,0.9
기름종개,100,107,17.5,3.3,-
긴고둥,100,-,-,-,1
긴고둥,100,118,17.2,2.7,-
긴꼬리벵에돔,100,97,20.1,1.3,1.3
긴뿔천길새우,100,92,20,0.8,-
김,100,-,-,-,-
까나리,100,114,16,4.8,-
까나리,100,-,18.7,-,-
까나리,100,-,-,-,8
까나리-액젓,100,36,7.8,0.2,-
까치복,100,-,-,-,0.8
까치복,100,-,16.5,-,-
까치복,100,85,19.3,0.2,-
까치상어,100,112,24.1,0.7,-
까칠복,100,85,19.3,0.3,-
까칠복,100,-,-,-,0.9
깨다시꽃게,100,-,-,-,1
깨다시꽃게,100,-,15.1,-,-
꺽저기,100,92,19.5,1,-
꼬막,100,-,13.9,-,-
꼬막,100,63,12.6,0.3,0.3
꼬시래기,100,17,1.8,0.2,-
꼬치고기,100,-,-,-,-
꼬치고기,100,96,20.5,0.8,-
꼬치고기,100,-,19,-,9.1
꼼치,100,-,-,-,0.3
꼼치,100,70,16.4,0.1,-
꼽새돔,100,102,19,2.3,-
꽁지양태,100,78,16.5,0.6,-
꽁치,100,-,-,-,-
꽁치,100,-,-,-,-
꽁치,100,-,20.5,-,-
꽁치,100,142,22.7,4.7,4.7
꽁치-동건품,100,421,32.1,29.9,-
꽁치-동건품,100,-,-,-,34.8
꽁치-통조림(보일드),100,-,15.5,-,-
꽁치-통조림(조미),100,243,15.5,14.7,14.7
꽃게,100,-,-,-,-
꽃게,100,-,-,-,0.7
꽃게,100,74,13.7,0.8,-
꽃게,100,-,15.9,-,-
꽃게-내장,100,-,-,-,-
꽃게-내장,100,-,10.6,-,-
꽃게-알,100,-,25.4,-,-
꽃새우,100,-,19,-,-
꽃새우-자건품,100,307,55.5,5.9,-
나문재,100,-,2.5,-,0.7
나비가오리,100,80,17.3,0.7,-
나팔고둥,100,111,15.9,3,-
낙지,100,-,-,-,-
낙지,100,75,16.3,0.5,0.5
낙지,100,-,13,-,-
낙지,100,-,-,-,-
낙지-내장,100,-,16.2,-,-
낙지-알,100,-,25.2,-,-
날개다랑어-통조림(기름담금),100,206,17.6,13.5,13.5
날치,100,99,22.2,0.5,0.5
남방대구,100,-,10.6,-,-
남방도화새우,100,-,-,-,1.4
남방큰돌고래,100,-,27.7,-,-
남방큰돌고래-보통육,100,-,-,-,1.9
남방큰돌고래-지방,100,-,-,-,79.3
납작파래,100,17,3.3,0.7,-
납작파래,100,-,38.4,-,-
납작파래,100,-,-,-,-
납지리,100,86,17.5,1.2,-
넓은입물레고둥,100,-,-,-,0.9
넙치,100,-,-,-,-
넙치,100,109,20.9,2.1,-
넙치,100,-,20.2,-,-
넙치-무안부,100,-,-,-,8.5
넙치-무안부,100,-,19.9,-,-
넙치-무안부,100,-,-,-,-
넙치-생식소,100,-,-,-,-
넙치-양식산,100,-,-,-,6.9
넙치-유안부,100,-,-,-,4.2
넙치-유안부,100,-,20.4,-,-
넙치-유안부,100,-,-,-,-
넙치-지느러미,100,-,-,0,-
네동가리,100,82,19.2,0.1,0.1
노랑가오리,100,-,-,-,-
노랑가오리,100,-,-,-,0.6
노랑가오리,100,97,21.6,0.6,-
노랑가오리-간,100,-,-,-,65
노랑가자미-양식산,100,-,-,-,-
노랑가자미-자연산,100,-,-,-,-
노랑각시서대,100,-,-,-,3.9
노랑벤자리,100,-,17.6,-,-
노랑벤자리,100,94,17.3,2.1,5.5
노래미,100,-,-,-,2.8
노래미,100,89,17.5,1.3,-
노무라입깃해파리,100,6,1.3,0,-
녹새치,100,-,-,-,-
놀래기,100,107,19.2,2.8,-
놀래기,100,-,20.5,-,-
농어,100,-,-,-,-
농어,100,-,20.6,-,-
농어,100,96,18.2,1.9,-
농어-양식산,100,-,-,-,6.9
농어-자연산-대,100,-,-,-,6.1
농어-자연산-소,100,-,-,-,3.7
누루시볼락,100,149,22.4,5.8,-
누치,100,-,-,-,1.2
누치,100,105,17.3,3,-
눈가자미,100,93,19.4,1.1,1.1
눈강달이,100,-,-,-,4.9
눈강달이,100,109,17,3.9,-
눈강달이,100,-,-,-,-
눈강달이-젓갈,100,107,14,5.1,-
눈다랑어,100,-,-,-,-
눈다랑어,100,-,24.8,-,-
눈볼대,100,-,-,-,9.6
눈볼대,100,144,22.3,5.3,-
눈볼대,100,-,16,-,-
눈양태,100,90,20.1,0.5,-
눈퉁멸,100,138,18.5,6.2,6.2
눈퉁멸,100,-,20,-,-
능성어,100,93,18.8,1.3,-
능성어,100,-,20.1,-,-
능성어-간,100,-,12.9,-,-
다금바리,100,100,19.3,1.9,-
다슬기,100,-,13.6,-,-
다슬기,100,-,-,-,1.2
다슬기,100,78,11.9,1.2,-
다시마,100,-,-,-,-
다시마,100,12,1.1,0.2,-
다시마,100,-,1.5,-,0.2
다시마-소건품,100,110,7.4,1.1,-
다시마-소건품,100,-,-,-,0.8
달강어,100,-,-,-,2.4
달강어,100,121,19.7,4,-
달고기,100,-,-,-,-
달고기,100,-,-,-,1
달고기,100,-,-,-,-
달고기,100,97,19.1,1.4,-
달고기,100,-,18.8,-,-
달고기-알,100,115,23.4,1.6,-
닭게,100,69,15.2,0.5,-
닭새우,100,-,-,-,-
닭새우,100,-,-,-,0.6
닭새우,100,88,17,1.2,-
닭새우,100,-,14.5,-,-
대게,100,85,17.4,1,-
