식품명,1회제공량,에너지(kcal),단백질(g),지방(g),탄수화물(g),총당류(g)
"조, 메조, 다황메, 도정, 생것",100,374,11.13,3.96,72.3,0.71
"조, 메조, 단아메, 도정, 생것",100,372,13.45,4.17,69.16,0.68
"조, 메조, 삼다메, 도정, 생것",100,372,10.78,3.74,72.57,0.79
"조, 메조, 조황메, 도정, 생것",100,373,11.33,4,71.68,0.89
"조, 메조, 도정, 찐것",100,115,3.14,1.13,22.71,0
"조, 차조, 도정, 생것",100,370,10.9,3.8,71.93,0.88
"조, 차조, 경관1호, 도정, 생것",100,376,10.74,3.82,73.5,0.75
"조, 차조, 경관2호, 도정, 생것",100,375,12.83,4.37,70.03,0.78
"조, 차조, 삼다찰, 도정, 생것",100,369,12.07,3.86,70.39,0.97
"조, 차조, 황미찰, 도정, 생것",100,371,9.28,3.38,74.54,1.06
"찹쌀, 백미, 생것",100,363,6.64,0.99,78.17,0.29
"찹쌀, 백미, 동진찰벼, 생것",100,363,6.64,1.04,78.11,0.07
"찹쌀, 백미, 백옥찰, 생것",100,365,6.77,1.12,78.23,0.55
"찹쌀, 백미, 백진주, 생것",100,359,6.63,0.76,77.68,0.25
"찹쌀, 백미, 보람찰, 생것",100,365,6.54,1.04,78.67,0.28
"찹쌀, 백미, 화선찰벼, 생것",100,375,9.5,2.6,75.2,-
"찹쌀, 백미, 보람찰, 밥",100,155,2.58,0.33,33.93,0
"찹쌀, 백미, 보람찰, 죽",100,53,0.91,0.28,11.3,0
"찹쌀, 백미, 가루",100,375,6.44,0.57,82.08,0.08
"찹쌀, 현미, 생것",100,356,7.28,2.29,75.52,0.9
"찹쌀, 현미, 동진찰벼, 생것",100,357,7.14,2.18,76.22,0.39
"찹쌀, 현미, 백옥찰, 생것",100,358,7.47,2.38,75.65,1.05
"찹쌀, 현미, 백진주, 생것",100,358,7.38,2.39,75.82,1.12
"찹쌀, 현미, 보람찰, 생것",100,350,7.11,2.21,74.39,1.03
"찹쌀, 현미, 보람찰, 밥",100,181,3.55,1.25,38.41,0.45
"찹쌀, 현미, 흑미, 생것",100,362,7.83,2.75,75.66,1.77
"찹쌀, 현미, 눈큰흑찰1호, 생것",100,360,8.19,2.69,75.08,2.19
"찹쌀, 현미, 조생흑찰, 생것",100,363,7.47,2.8,76.23,1.34
"찹쌀 과자, 다식, 검정깨",100,475,13.8,25.2,48.3,-
"찹쌀 과자, 다식, 송화",100,343,4.4,2.3,76.1,-
"찹쌀 과자, 산자",100,417,2,11.8,75.6,-
"찹쌀 과자, 유과",100,411,1.96,10.37,77.49,14.72
"찹쌀 과자, 전병",100,446,7.8,10.7,79.6,-
"찹쌀 국수, 흑미, 말린것",100,334,8.1,0.3,74.6,-
찹쌀떡,100,245,4.81,1.75,52.65,6.47
"찹쌀떡, 경단 카스텔라",100,237,4.1,1.8,51.1,-
"찹쌀떡, 모듬찰떡",100,223,5.7,1.2,47.4,-
"찹쌀떡, 약식",100,244,3.7,2.2,52.3,-
"찹쌀떡, 인절미, 팥고물",100,204,4.2,0.9,44.8,-
"찹쌀떡, 인절미, 콩고물",100,231,5.52,1.15,49.69,2.81
"찹쌀떡, 찰시루떡",100,181,6.63,0.41,37.63,1.22
"찹쌀빵, 찹쌀도넛",100,296,5,5.3,57.1,-
"퀴노아, 쪄서 말린것",100,363,9.56,3.26,72.62,1.34
"피, IEC525(NO.5), 도정, 생것",100,376,8.5,4.6,73.9,-
"호밀, 통호밀, 생것",100,334,15.9,1.5,70.7,-
"호밀, 가루",100,324,8.5,1.6,75.8,0.9
호밀빵,100,252,8.4,2.2,52.7,-
"감자, 대지, 생것",100,67,2.01,0.04,15.08,0
"감자, 대지, 삶은것",100,77,2.07,0.08,17.39,0
"감자, 대지, 찐것",100,80,2.11,0.09,18.17,0
"감자, 대지, 구운것",100,90,2.43,0.09,20.5,0
"감자, 수미, 생것",100,70,1.93,0.03,16.07,0
"감자, 수미, 삶은것",100,76,1.99,0.04,17.43,0
"감자, 수미, 찐것",100,75,1.94,0.05,17.28,0
"감자, 수미, 구운것",100,85,2.3,0.08,19.38,0
"감자, 로즈밸리, 생것",100,68,2.25,0.03,15.18,0
"감자, 로즈밸리, 삶은것",100,79,2.34,0.09,17.87,0
"감자, 자색, 생것",100,82,2.8,-,18.5,-
"감자, 자색, 찐것",100,85,2.3,-,19.5,-
"감자, 자색, 보라밸리, 생것",100,60,1.45,0.02,13.79,0
"감자, 자색, 보라밸리, 삶은것",100,69,1.39,0.05,15.97,0
"감자, 자심, 생것",100,64,1.8,0,14.7,-
"감자, 부침가루",100,355,12.1,1.4,73.6,-
"감자 과자, 감자칩, 구운것",100,469,5,18.2,71.4,5.01
"감자 과자, 감자칩, 튀긴것",100,536,4.95,30.33,60.92,0
"감자 튀김, 튀긴것",100,293,3.54,11.3,44.16,0.19
"감자 튀김, 해시브라운, 튀긴것",100,219,2.65,11.59,28.51,0.27
"감자, 으깬감자",100,83,1.91,0.57,17.57,1.48
감자 샐러드,100,143,2.68,8.2,11.17,-
"고구마, 생것",100,147,1.09,0.15,35.52,9.83
"고구마, 분질(밤) 고구마, 생것",100,154,1.01,0.11,37.22,9.83
"고구마, 점질(호박) 고구마, 생것",100,141,1.17,0.2,33.81,9.83
"고구마, 베니하루까, 생것",100,147,1.03,0.45,34.91,7.08
"고구마, 신율미, 생것",100,164,1,0.61,38.84,4.64
"고구마, 신자미, 생것",100,107,1.3,0.1,25.5,-
"고구마, 연황미, 생것",100,127,1.1,0,30.7,-
"고구마, 주황미, 생것",100,105,1,0.1,25.1,-
"고구마, 진홍미, 생것",100,140,1.2,-,33.8,-
"고구마, 찐것",100,163,1.08,0.15,39.41,13.75
"고구마, 분질(밤) 고구마, 찐것",100,169,1.07,0.15,40.9,13.02
"고구마, 점질(호박) 고구마, 찐것",100,157,1.1,0.15,37.91,14.48
"고구마, 구운것",100,188,1.13,0.16,45.48,19.08
"고구마, 분질(밤) 고구마, 구운것",100,189,1.01,0.16,45.94,14.95
"고구마, 점질(호박) 고구마, 구운것",100,186,1.25,0.16,45.02,23.21
"고구마, 말린것",100,312,2.3,0.1,75.7,-
"당면, 고구마, 말린것",100,358,0.08,0.07,88.75,0
"당면, 고구마, 삶은것",100,123,0.03,0.04,30.38,0
"당면, 고구마, 감자, 말린것",100,346,0,0.2,86.6,0
"곤약(구약나물), 가루",100,194,3,0.1,85.3,-
"곤약(구약나물), 국수형, 생것",100,7,0.2,Tr,3,-
"곤약(구약나물), 판형, 생것",100,6,0.12,0.01,3.06,0
"돼지감자, 생것",100,35,2.18,0.09,14.92,6.37
"돼지감자, 삶은것",100,39,2.23,0.11,17.16,0
"돼지감자, 말린것",100,172,10.43,0.46,74.35,11.64
"마, 단마, 생것",100,63,1.84,0.12,14.05,1
"마, 둥근마, 생것",100,152,3.56,0.98,33.24,0.15
"마, 장마, 생것",100,45,1.56,0.28,9.55,2.22
"마, 장마, 삶은것",100,49,1.47,0.25,10.51,2.47
"아피오스감자, 생것",100,175,6.1,0.5,38.2,-
"야콘, 뿌리, 생것",100,52,0.6,0.3,12.4,0.5
"야콘, 뿌리, 삶은것",100,42,0.6,0.3,9.9,-
"전분, 감자, 가루",100,334,0.07,0.02,82.7,0.05
"전분, 고구마, 가루",100,346,0,0.05,85.85,0.01
"전분, 밀, 가루",100,360,0.2,0.5,86,0
"전분, 쌀, 가루",100,375,0.2,0.7,89.3,0
"전분, 옥수수, 가루",100,366,0.19,0.56,89.6,0.05
"전분, 옥수수, 밀, 가루",100,379,0.3,0,93.8,-
"전분, 칡뿌리, 가루",100,356,0.2,0.2,85.6,0
"천마, 생것",100,77,0.9,0,18.5,-
"천마, 찐것",100,81,1.1,0,19.3,-
"칡, 뿌리, 생것",100,137,2.48,0.1,32.05,3.58
칡즙,100,21,0.44,0,4.91,1.51
"토란, 생것",100,71,2.08,0.14,15.77,0
"토란, 삶은것",100,73,2.17,0.18,16.28,0.46
"토란, 찐것",100,76,2.4,0.17,16.75,0
"히카마(얌빈), 생것",100,44,0.68,0.06,10.36,4.59
"히카마(얌빈), 삶은것",100,45,0.39,0.06,10.66,2.93
과당,100,375,0,0,99.9,-99.9
"껌, 무설탕",100,268,0,0.4,94.8,0
"껌, 추잉 껌",100,388,0,0,-96.9,-
"껌, 풍선껌",100,387,0,0,-96.7,-
꿀,100,317,0.28,0.01,85.83,72.67
"꿀, 밤",100,314,0.45,0.02,84.95,67.37
"꿀, 아카시아",100,319,0.12,0,86.48,74.68
"꿀, 잡화",100,318,0.26,0.02,86.07,75.96
"꿀, 토종",100,313,0.38,0.02,84.73,67.18
"당밀, 가공당",100,274,0.2,0,68.2,-
로얄제리,100,104,14.29,1.4,12.82,12.04
물엿,100,321,0.02,0,83.03,22.06
"사탕, 드롭스",100,379,0.31,0.55,97.57,42.77
"사탕, 땅콩",100,354,0.23,7.14,91.2,37.08
"사탕, 마쉬멜로",100,324,-2.1,0,-79.3,-61.4
"사탕, 박하사탕",100,382,0.02,0.02,98.59,41.67
"사탕, 버터",100,352,0.22,8.22,90.62,34.27
"설탕, 가루",100,389,0,0,99.77,97.81
"설탕, 각설탕",100,394,0,0,100,-99.9
"설탕, 백설탕",100,387,0,0.01,99.96,99.7
"설탕, 빙설탕",100,394,0.1,0,99.8,99.9
"설탕, 황설탕",100,386,0,0.01,99.81,97
"설탕, 흑설탕",100,379,0.12,0.01,97.88,90
"시럽, 단풍나무",100,260,0.04,0.06,67.04,60.46
"시럽, 초콜릿",100,268,2.1,0.1,67.1,-
"양갱, 팥",100,298,3.37,0.14,73.44,41.94
"엿, 고구마",100,263,1.6,-,69.7,-
"젤라틴, 디저트용, 가루",100,381,7.8,0,90.5,86.04
"젤리, 구미",100,344,7.5,0.42,77.53,50
"조청, 감",100,201,3,0.1,47,-
"조청, 고구마",100,289,1.38,0.35,77,46.86
"조청, 도라지",100,323,1.7,0.1,86,-
"조청, 배",100,238,2.1,0,62.3,-
"조청, 산수유",100,299,0.3,-,80.9,-
"조청, 쌀",100,326,0.53,0.24,87.9,49.91
"조청, 오가피",100,286,0.4,0.1,77.3,-
"초코바, 땅콩 캐러멜",100,479,9.36,21.51,61.98,48.03
"초코바, 쿠키 캐러멜",100,489,4.33,22.33,67.6,43.07
"초콜릿, 다크 초콜릿",100,598,7.79,42.63,45.9,23.99
"초콜릿, 땅콩 초콜릿",100,519,13.1,33.5,49.7,37.59
"초콜릿, 밀크 아몬드 초콜릿",100,526,9,34.4,53.4,43.9
"초콜릿, 밀크 초콜릿",100,549,7.8,32.54,56.17,46.18
"초콜릿, 스위트 초콜릿",100,507,3.9,34.2,60.4,51.48
"초콜릿, 크런치 초콜릿",100,520,7.25,26.81,62.49,44.12
"초콜릿, 화이트 초콜릿",100,539,5.87,32.09,59.24,59
"캐러멜, 우유",100,423,1.8,10.7,79.9,-
포도당,100,342,0,0,91,-88.2
"푸딩, 바닐라 가루, 우유에 섞은것",100,114,2.7,2.9,19.7,18.03
"푸딩, 커스터드",100,116,-5.7,-5.5,-14,-13.6
"강낭콩, 생것",100,172,8.8,0.86,32.38,0
"강낭콩, 삶은것",100,170,8.46,0.9,31.9,0
"강낭콩, 말린것",100,350,21.2,1.1,63.9,-
"녹두, 말린것",100,352,24.51,1.52,60.15,0
"녹두, 삶은것",100,158,11.29,0.67,26.66,0
"녹두 빈대떡, 가루",100,347,20.7,1.2,63.4,-
"녹두 빈대떡가루, 반죽",100,98,6.2,0.6,17,-
"녹두 국수, 말린것",100,344,0.2,0.4,87.5,0
녹두묵,100,40,0.12,0.03,9.81,0.02
"대두, 검은색, 서리태, 말린것",100,413,38.68,15.86,30.45,6.45
"대두, 검은색, 서리태, 삶은것",100,196,19.02,8.75,11.39,6.95
"대두, 검은색, 서리태, 볶은것",100,436,41.72,16.72,31.27,6.73
"대두, 검은색, 청자3호, 말린것",100,399,34.6,12.6,37.84,9.36
"대두, 검은색, 청자3호, 볶은것",100,452,37.4,18.1,36.7,-
"대두, 검은색, 흑태, 말린것",100,407,36.1,15.37,32.45,6.44
"대두, 검은색, 흑태, 삶은것",100,199,17.87,9.05,12.4,2.19
"대두, 검은색, 흑태, 볶은것",100,446,40.99,17.31,33.31,5.7
"대두, 노란색, 말린것",100,409,36.21,14.71,32.99,6.64
"대두, 노란색, 삶은것",100,201,17.82,9.5,12.02,2.43
"대두, 노란색, 볶은것",100,444,40.47,17.21,33.57,6.32
"대두, 노란색, 대풍, 말린것",100,405,34.36,13.83,36.94,5.51
"대두, 노란색, 대풍, 볶은것",100,460,35.8,19.5,37.3,-
"대두, 노란색, 미국산, 말린것",100,432,33.9,16,39.6,-
"대두, 노란색, 중국산, 말린것",100,433,32.7,16.9,39.2,-
"대두, 콩가루",100,427,37,20.9,32.3,-
두부,100,97,9.62,4.63,3.75,0
"두부, 동두부, 동결건조",100,496,50.5,34.1,4.2,0
"두부, 순두부",100,44,6.85,1.35,0.69,0.6
"두부, 연두부",100,50,4.66,2.51,1.93,0.74
"두부, 유부",100,450,26.11,34.23,7.93,0.42
비지,100,74,3.5,1.5,11.7,-
"두유, 대두",100,62,3.01,3.92,3.42,3.02
"두유, 검은콩",100,86,3.21,3.77,9.87,4.71
"두유, 검은콩, 검은참깨",100,77,3.4,3.15,8.76,4.54
"두유, 콩국물, 소금 0.3%",100,57,4.84,2.57,3.74,0.91
콩조림(콩자반),100,271,19.3,4.2,39.1,-
"동부, 생것",100,166,9.51,1.02,29.34,0.21
"동부, 삶은것",100,138,8.11,0.77,24.46,0.14
"동부, 말린것",100,343,19.61,2.1,60.56,0.44
"동부, 수입산, 말린것",100,345,22.08,2.07,59.43,0
"동부, 수입산, 삶은것",100,155,10.02,1.12,26.28,0
"리마콩, 말린것",100,306,21.9,1.8,60.8,1.2
"리마콩, 삶은것",100,122,9.6,0.9,26,-0.5
"렌즈콩(렌틸콩), 갈색, 말린것",100,359,21.01,1.43,65.42,1.3
"렌즈콩(렌틸콩), 빨간색, 말린것",100,359,22.22,1.68,63.63,1.33
"밤콩, 갈색, 말린것",100,410,35,17.2,30.6,-
"병아리콩, 말린것",100,373,17.27,5.66,63.14,-
"완두, 생것",100,114,7.92,0.44,19.51,0
"완두, 삶은것",100,122,7.27,1.1,20.78,0
"완두, 말린것",100,363,20.7,1.3,67.1,-
"완두, 통조림",100,82,3.6,0.4,19.7,-3.8
"작두(도두), 생것",100,125,9,0.3,21.5,-
"작두(도두), 말린것",100,344,26.3,1,57.4,-
"잠두, 생것",100,341,26.12,1.53,58.29,5.7
"잠두, 삶은것",100,110,7.6,0.4,19.65,1.82
"쥐눈이콩(검정소립콩), 말린것",100,403,37.32,14.61,30.59,5.58
"쥐눈이콩(검정소립콩), 삶은것",100,184,17.99,6.79,12.71,1.55
"쥐눈이콩(검정소립콩), 볶은것",100,447,42.31,16.71,31.73,5.56
"팥, 검은색, 말린것",100,330,20.63,0.96,58.72,0.43
"팥, 검은색, 검구슬, 말린것",100,336,20.57,1.05,60.26,0.4
"팥, 검은색, 삶은것",100,156,9.49,0.86,27.15,0.28
"팥, 녹색, 연두채, 말린것",100,341,22.58,1,59.54,0.28
"팥, 적색, 말린것",100,335,21.82,1.07,58.56,0.45
"팥, 적색, 서나, 말린것",100,341,21.14,1.22,60.56,0.46
"팥, 적색, 아라리, 말린것",100,338,21.59,1.06,59.5,0.52
"팥, 적색, 삶은것",100,113,7.91,0.32,19.4,0.16
"팥, 적색, 수입산, 말린것",100,357,19.6,0.5,68.5,-
"팥, 황백, 말린것",100,343,22.38,1.17,59.85,0.36
"팥, 황백, 흰구슬, 말린것",100,348,21.55,1.44,61.43,0.39
"팥, 황백, 흰나래, 말린것",100,337,23.2,0.89,58.26,0.34
"팥, 회색, 말린것",100,350,21.9,1,63.3,-
"팥, 앙금, 페이스트",100,147,9.8,0.6,27.1,0
"팥, 팥빙수용 단팥",100,206,4.51,0.22,45.63,36.53
"개암, 헤이즐넛, 말린것",100,628,14.95,60.75,16.7,4.34
"개암, 헤이즐넛, 볶은것",100,646,15.03,62.4,17.6,4.89
"도토리, 생것",100,230,4.4,3,46.7,-
"도토리, 가루",100,354,1.1,1.1,83.7,-
"도토리, 가루, 졸참도토리 ",100,342,4.6,0.5,79.2,-
"도토리, 가루, 종가시도토리",100,348,3.3,1.6,79.5,-
"도토리, 국수, 말린것",100,343,12.4,0.7,72.2,-
도토리묵,100,47,0.33,0.11,11.23,0
"도토리묵, 가루",100,366,1.7,1.23,87.09,0.01
"들깨, 말린것",100,530,22.68,39.74,29.26,1.46
"들깨, 볶은것",100,530,23.59,36.23,35.53,1.48
"땅콩, 말린것",100,520,25.74,42.57,18.36,4.4
"땅콩, 검은색, 말린것",100,574,19.3,47.7,26.5,-
"땅콩, 대립종, 말린것",100,571,26.1,49.1,17.1,-
"땅콩, 중립종, 말린것",100,549,20.3,43,29.1,-
"땅콩, 소립종, 말린것",100,564,22.4,46.3,24.2,-
"땅콩, 삶은것, 소금첨가",100,318,13.5,22.01,21.26,2.47
"땅콩, 볶은것",100,567,28.5,46.24,19.91,5.18
"땅콩, 가루",100,560,28.43,43.11,24.62,6.26
"땅콩, 조미, 볶은것",100,558,26.54,43.59,24.92,5.31
"때죽, 말린것",100,551,13.6,44.7,31.8,-
"마름, 생것",100,183,5.8,0.5,40.6,1.6
"마카다미아, 조미, 볶은것",100,751,8.3,76.7,12.2,-3.8
"머루씨, 생것",100,282,6.3,4.8,54,-
"목화씨, 구운것",100,506,32.59,36.29,21.9,-
"밤, 생것",100,151,3.28,0.5,33.39,4.95
"밤, 단택, 생것",100,150,2.7,0.1,34.3,-
"밤, 대보, 생것",100,146,2.9,0.1,33.3,-
"밤, 옥광, 생것",100,147,2.9,0.1,33.5,-
"밤, 이평, 생것",100,157,3.5,0.1,35.4,-
"밤, 축파, 생것",100,141,2.8,0.1,32.1,-
"밤, 삶은것",100,154,3.45,0.51,33.95,6.06
"밤, 단택, 삶은것",100,150,3.2,0.2,33.6,-
"밤, 대보, 삶은것",100,155,3,0.1,35.2,-
"밤, 옥광, 삶은것",100,154,3.1,0.1,35,-
"밤, 이평, 삶은것",100,155,3.7,0.2,34.4,-
"밤, 축파, 삶은것",100,138,2.5,0.1,31.6,-
"밤, 구운것",100,206,4.65,0.68,45.36,7.75
"밤, 단택, 구운것",100,187,3.8,0.1,42.5,-
"밤, 대보, 구운것",100,181,3.6,0.1,41.2,-
"밤, 축파, 구운것",100,185,3.5,0.1,42.2,-
"밤, 말린것",100,377,6.7,4.1,78.6,-
"밤, 구운것, 레토르트",100,199,4.48,1.1,42.81,7.63
"밤, 통조림",100,225,1.1,0,55.2,-
"브라질너트, 말린것",100,659,14.32,67.1,11.74,2.33
"브라질너트, 조미, 볶은것",100,703,14.9,69.1,9.6,-2.3
"삼씨(대마씨), 말린것",100,450,29.9,28.3,31.7,2.3
"수박씨, 말린것",100,451,19.3,22.9,47.2,-
"수박씨, 조미, 볶은것",100,528,29.6,46.4,13.4,2
"아마씨, 볶은것",100,540,21.8,43.3,30.4,0.9
"아몬드, 말린것",100,581,23.44,49.96,20.09,6.82
"아몬드, 볶은것",100,594,23.45,51.29,20.49,3.91
"아몬드, 조미, 볶은것",100,568,25.74,46.61,21.82,5.82
"연씨, 생것",100,81,5.9,0.5,14.9,-0.5
"은행, 생것",100,203,4.69,1.53,42.78,2.95
"은행, 삶은것",100,186,4.31,1.86,38.25,1.91
"은행, 볶은것",100,221,5,2.05,45.76,3.33
"잣, 생것",100,630,15.96,59.28,19.38,1.33
"잣, 볶은것",100,708,17.6,75,4.7,-
"잣, 말린것",100,640,15.4,61.5,17.6,-
잣두부,100,78,7.5,4.3,4,-
잣죽,100,64,1.45,3.06,7.9,0.12
"참깨, 검은색, 말린것",100,549,20.85,44.12,26.45,0
"참깨, 검은색, 볶은것",100,539,21.28,42.3,27.42,0
"참깨, 흰색, 말린것",100,556,25.41,45.31,21.77,0
"참깨, 흰색, 볶은것",100,557,25.96,45.11,21.83,0
"참깨 과자, 엿강정",100,538,15,32.9,45.4,-
참깨죽,100,38,1,1.2,5.9,-
"치아씨, 말린것",100,486,16.54,30.74,42.12,-
"캐슈넛, 조미, 볶은것",100,581,16.84,47.77,30.16,5.01
"코코넛, 말린것",100,660,6.88,64.53,23.65,7.35
"코코넛, 볶은것",100,592,5.3,47,44.4,-
"코코넛, 코코넛밀크",100,230,2.29,23.84,5.54,3.34
코코넛수,100,19,0.72,0.2,3.71,2.61
"피스타치오, 말린것",100,560,20.16,45.32,27.17,7.66
"피스타치오, 볶은것",100,584,25.99,48.89,20.82,8.15
"피스타치오, 조미, 볶은것",100,583,22.9,48.22,24.66,5.95
"피칸, 말린것",100,691,9.17,71.97,13.86,3.97
"피칸, 조미, 볶은것",100,710,9.5,74.27,13.55,4.06
"해바라기씨, 말린것",100,589,21.93,52.26,18.58,2.68
"해바라기씨, 볶은것",100,582,19.33,49.8,24.07,2.73
"해바라기씨, 조미, 볶은것",100,587,20.1,56.3,17.2,-1.4
"호두, 말린것",100,688,15.47,71.99,7.92,0
"호두, 볶은것",100,713,14.6,68.8,11.7,2.5
"호박씨, 말린것",100,548,35.35,48.18,5.34,0
"호박씨, 조미, 볶은것",100,590,26.5,51.8,12,-1.3
"가시오갈피, 순, 생것",100,76,5.67,0.7,15.87,2.48
"가시오갈피, 순, 데친것",100,63,5.25,0.85,11.99,2.07
"가지, 생것",100,19,1.13,0.03,4.36,2.32
"가지, 데친것",100,19,1,0.1,4.4,1.94
"가지, 말린것",100,290,14.53,2.4,65.59,18.13
"가지, 염절임",100,22,1.4,0.1,5.2,-
"갓, 생것",100,36,3.5,0.2,7.3,-
"갓, 돌산갓, 생것",100,24,2.66,0.28,4.22,1.99
"개비름, 생것",100,23,2.72,0.29,3.96,0.31
"개비름, 데친것",100,27,2.98,0.41,4.51,0.27
"갯기름나물, 생것",100,47,3.71,0.41,9.67,0
"갯기름나물, 노지, 생것",100,41,3.94,0.32,7.91,0
"갯기름나물, 노지, 어린잎, 생것",100,53,4.17,0.52,10.92,0
"갯기름나물, 하우스, 생것",100,50,3.12,0.44,10.75,0
"갯기름나물, 하우스, 어린잎, 생것",100,44,3.59,0.36,9.09,0
"갯기름나물, 데친것",100,49,3.86,0.71,9.39,0
"갯기름나물, 노지, 데친것",100,44,3.62,0.57,8.56,0
"갯기름나물, 노지, 어린잎, 데친것",100,53,4.11,0.8,10.15,0
"갯기름나물, 하우스, 데친것",100,52,3.41,0.79,10.25,0
"갯기름나물, 하우스, 어린잎, 데친것",100,47,4.28,0.69,8.61,0
"갯나물, 세발나물, 생것",100,18,1.61,0.14,3.59,0
"갯나물, 세발나물, 데친것",100,23,2.29,0.28,4.2,0
"갯나물, 칠면초, 생것",100,27,2.7,0.3,5,-
"갯나물, 퉁퉁마디(함초), 노지, 생것",100,19,1.4,0.15,3.97,0
"갯나물, 퉁퉁마디(함초), 하우스, 생것",100,19,1.34,0.15,4.13,0
"갯나물, 퉁퉁마디(함초), 환",100,262,9.28,6.14,52.6,0.94
"게걸무, 생것",100,59,2.3,0.1,13.6,-
"게걸무, 잎, 생것",100,23,2.7,0.2,4.2,-
"겨자, 녹색, 생것",100,24,3.03,0.17,4.19,0
"겨자, 적색, 생것",100,24,3.54,0.27,3.57,0
"경수채, 어린잎, 생것",100,26,1.68,0.24,5.57,2.1
"고구마, 잎, 생것",100,47,3.92,0.44,7.34,0
"고구마, 잎, 데친것",100,41,3.44,0.62,5.8,0
"고구마, 줄기, 생것",100,18,0.76,0.02,3.63,0
"고구마, 줄기, 데친것",100,17,0.59,0.05,3.64,0
"고구마, 줄기, 삶은것",100,14,0.45,0.05,2.88,0
"고구마, 줄기, 말린것",100,332,6.07,0.47,75.53,17.11
"고구마, 줄기, 삶아서 말린것, 삶은것",100,23,0.48,0.11,4.96,0
"고구마, 줄기, 껍질 포함, 생것",100,23,0.88,0.03,4.96,1.52
"고구마, 줄기, 껍질 포함, 데친것",100,22,0.74,0.06,4.65,0.33
"고구마, 줄기, 껍질 포함, 삶아서 말린것, 삶은것",100,33,0.52,0.06,7.51,0
"고들빼기, 생것",100,29,1.6,0.5,5.8,-
"고들빼기, 이고들빼기, 생것",100,39,2.5,0.4,8.2,-
"고려엉겅퀴(곤드레), 재래종, 잎, 생것",100,32,3.47,1.38,3.29,0.35
"고려엉겅퀴(곤드레), 야생, 말린것",100,275,20.5,3.9,53.9,-
"고려엉겅퀴(곤드레), 재배, 말린것",100,310,5.6,2.8,76.4,-
"고비, 야생, 생것",100,28,1.72,0.13,6.41,2.09
"고비, 야생, 삶은것",100,25,1.58,0.16,5.43,0
"고비, 야생, 말린것, 삶은것",100,31,1.68,0.26,6.84,0
"고비, 야생, 삶아서 말린것",100,299,17.95,1.7,67.51,7.61
"고비, 재배, 생것",100,28,2.1,0.1,6.2,-
"고사리, 생것",100,22,2.9,0.17,3.8,0.2
"고사리, 데친것",100,21,2.74,0.24,3.55,0.43
"고사리, 말린것",100,261,25.8,0.6,54.2,-
"고사리, 삶아서 말린것",100,273,27.85,2.11,56.58,0
"고수(향채), 생것",100,33,4.6,0.2,5.6,-
"고추, 싹, 생것",100,21,2.6,0.1,3.8,-
"고추, 빨간색, 생것",100,85,3.12,2.73,15.34,5.48
"고추, 빨간색, 녹광, 생것",100,41,2.3,1.3,6.9,-
"고추, 빨간색, 수비초, 생것",100,77,3.7,1.8,14.8,-
"고추, 빨간색, 말린것",100,312,13.88,8.71,57.47,-
"고추, 연두색, 시레나, 생것",100,19,1,0.1,4.4,-
"고추, 초록색, 녹광, 생것",100,27,1.4,0.8,4.6,-
"고추, 초록색, 시레나, 생것",100,23,1.1,0.1,5.4,-
"고추, 풋고추, 생것",100,29,1.71,0.19,6.42,1.8
"고추, 풋고추, 재래종, 생것",100,26,1.2,0.2,6,-
"고추, 꽈리고추, 생것",100,33,1.83,0.13,7.78,1.98
"고추, 오이고추, 생것",100,23,0.99,0.12,5.51,0.76
"고추, 청양고추, 생것",100,31,1.53,0.3,7.01,0.34
고추장아찌,100,124,2.39,0.63,31.49,11.38
"고춧잎, 생것",100,45,5.07,0.32,8.49,0
"고춧잎, 데친것",100,51,5.16,0.85,8.9,0
"고춧잎, 말린것",100,266,35.43,5.3,37.8,0
"고춧잎, 삶아서 말린것, 삶은것",100,41,4.41,0.76,6.66,0
"고추냉이, 뿌리, 생것",100,103,2.9,0.5,23.7,-
"고추냉이, 잎, 생것",100,36,3.7,0.5,6.3,-
"고추냉이, 줄기, 생것",100,24,0.9,0.2,5.6,-
"곤달비, 생것",100,42,1.8,0.5,9.4,-
"곤달비, 데친것",100,35,1.8,0.5,7.4,-
"공심채, 생것",100,17,2.2,0.1,3.1,-0.5
"공심채, 데친것",100,18,2.2,0.1,4.1,-0.5
"꾸지뽕, 잎, 생것",100,85,5.06,0.51,19.18,3.07
"꾸지뽕, 잎, 삶은것",100,61,3.93,0.51,13.15,0.98
"꾸지뽕, 잎, 말린것",100,282,18.25,1.4,63.3,12.44
"구기자, 순, 재래종, 생것",100,50,6.27,1.08,7.05,0.78
"구기자, 잎, 재래종, 생것",100,56,6.33,1.57,7.77,0.24
"국화꽃, 생것",100,25,1.4,0,6.5,-
"국화꽃, 데친것",100,21,1,0,5.7,-
"국화꽃, 말린것",100,283,11.6,0.2,73.5,-
"근대, 생것",100,18,1.78,0.2,3.28,0
"근대, 데친것",100,20,1.79,0.2,3.95,0
"김치, 갓김치",100,37,3.26,0.4,7.07,2.46
"김치, 고들빼기",100,88,4.1,2.7,11.9,-
"김치, 깍두기",100,38,1.43,0.19,7.54,3.55
"김치, 나박 김치",100,7,0.34,0.07,1.27,0.29
"김치, 동치미",100,8,0.33,0.01,1.77,0.62
"김치, 배추 김치",100,38,1.97,0.57,6.24,2.87
