식품명,1회제공량,에너지(㎉),단백질(g),지방(g),탄수화물(g),총당류(g)
붕어찜,1100,835.6,54.3,36.9,71.6,16.2
소갈비찜,250,494.6,49.86,26.96,13.14,4.32
순대,300,542.42,19.56,25.64,58.36,3.5
아구찜,400,310.87,48.3,5.31,17.47,0.69
아구찜,750,492.32,65.4,6.5,43.1,8.2
안동찜닭,1500,1364.21,114.2,38.8,139.5,66.8
전어찜,100,278.22,17.28,22.97,0.6,0
조기찜,100,182.12,20.06,10.59,1.64,0
참꼬막,80,90.79,12.47,2.5,4.59,0
한방오리백숙,300,469.53,68.79,20.1,3.36,0.35
해물찜,500,400.08,42.6,9.8,35.4,5.5
홍어찜,250,202.67,47.12,1.03,1.22,1.22
갈낙탕,400,261.77,35.8,12.8,0.8,1.3
곰탕,300,183.25,19.4,3.7,18.1,0.5
광어매운탕,600,419.79,58.42,16.62,9.13,1.42
낙지탕,600,187.8,29.4,3.2,10.4,1.9
대구매운탕,600,361.75,57.36,7.21,16.84,1.09
대구지리탕,600,262.02,41.6,6.2,9.9,1.5
메기매운탕,600,400,28.6,10.2,48.6,5.7
복지리탕,600,232.05,41.7,2.7,10.3,1.4
소탕,150,86.37,7.66,5.35,1.9,0.03
아구탕,600,246.07,37.8,4.9,12.8,1.8
어탕,150,85.87,12.7,3.09,1.82,0
연포탕,1000,541.64,94.9,9.03,20.19,0.23
우럭매운탕,600,406.82,52.15,17.03,11.24,1.08
육탕,150,87.63,12.66,3.95,0.35,0
전복탕,600,196.85,26.8,3,15.8,1.3
조기매운탕,600,384.38,35.1,19.4,17.3,4.3
짱뚱어탕,600,188.77,11.5,8.5,16.6,2.4
추어탕,1000,316.72,22.7,13.2,26.8,0
해물탕,600,267.81,39.8,4.7,16.6,0.8
고구마맛탕,200,491,3.3,11,94.6,38.7
고구마튀김,100,252.96,2.72,11.87,33.8,7.72
고추튀김,100,202,7.6,12.6,14.6,2.3
닭튀김,300,903,65.2,49.7,48.8,1.5
등심돈가스,200,623.83,32.99,37.54,38.49,3.66
모래집튀김,150,468.37,28.1,26.6,29.1,1.8
미꾸라지튀김,100,387.49,10.89,25.39,28.85,0.3
생선까스,200,653.44,24.33,41.1,46.56,1.96
안심돈가스,200,651.75,33.28,42.4,34.25,2.77
양념치킨,200,552,35.5,26.8,42.3,12.5
쥐포튀김,100,356.91,9.62,16.49,42.5,7.96
치즈돈가스,250,755.37,42.02,46.69,41.76,3.57
치킨까스,200,593,27.91,33.92,44.02,4.15
대구포,100,140.84,31.97,0.4,2.33,0
북어포,20,66.46,15.42,0.39,0.32,0.22
매작과,30,123.86,2.25,3.95,19.83,4.93
산자,30,109.71,0.69,0.93,24.65,9.4
송화다식,30,110.83,2.49,1.34,22.19,8
약과,30,119.73,1.26,1.43,25.47,5.07
유과,30,127.09,0.84,3.85,22.27,7.24
글램핑 바비큐(오리지널 L),157,410,17,-,-,10
글램핑 바비큐(나폴리M),127,328,15,-,-,8
글램핑 바비큐(나폴리L),126,312,16,-,-,10
글램핑 바비큐(씬 M),105,266,13,-,-,8
글램핑 바비큐(씬 L),103,273,13,-,-,9
글램핑 바비큐(슈퍼시드 함유 도우M),172,485,24,-,-,14
글램핑 바비큐(슈퍼시드 함유 도우L),156,392,19,-,-,11
글램핑 바비큐 더블치즈엣지(오리지널 M),129,330,16,-,-,10
글램핑 바비큐 더블치즈엣지(오리지널 L),196,489,25,-,-,11
더블크러스트 이베리코(더블 크러스트 L),152,387,19,-,-,9
더블크러스트 이베리코(더블 크러스트 M),130,345,12,-,-,10
리얼불고기(오리지널 L),164,420,14,-,-,14
리얼불고기(오리지널 M),115,280,13,-,-,5
리얼불고기(나폴리L),130,334,16,-,-,5
리얼불고기(나폴리M),181,430,23,-,-,8
리얼불고기(씬 L),149,365,20,-,-,6
리얼불고기(씬 M),139,396,22,-,-,6
리얼불고기(슈퍼시드 함유 도우L),111,313,15,-,-,5
리얼불고기(슈퍼시드 함유 도우M),116,292,14,-,-,6
리얼불고기 더블치즈엣지(오리지널 L),133,344,17,-,-,7
리얼불고기 더블치즈엣지(오리지널 M),144,350,18,-,-,4
문어밤 슈림프(오리지널 L),170,428,21,-,-,5
문어밤 슈림프(오리지널 M),117,280,15,-,-,7
문어밤 슈림프(나폴리L),143,323,18,-,-,7
문어밤 슈림프(나폴리M),186,430,22,-,-,11
문어밤 슈림프(씬 L),111,254,15,-,-,7
문어밤 슈림프(씬 M),153,389,20,-,-,11
문어밤 슈림프(슈퍼시드 함유 도우L),130,333,19,-,-,8
문어밤 슈림프(슈퍼시드 함유 도우M),118,280,16,-,-,9
문어밤 슈림프 더블치즈엣지(오리지널 L),143,322,17,-,-,10
문어밤 슈림프 더블치즈엣지(오리지널 M),144,347,18,-,-,6
베스트 콰트로(오리지널 L),186,460,25,-,-,8
베스트 콰트로(오리지널 M),134,312,13,-,-,6
베스트 콰트로(나폴리L),157,387,18,-,-,8
베스트 콰트로(나폴리M),107,259,12,-,-,5
베스트 콰트로(씬 L),129,306,15,-,-,7
베스트 콰트로(씬 M),181,457,19,-,-,9
베스트 콰트로(슈퍼시드 함유 도우L),112,274,12,-,-,6
베스트 콰트로(슈퍼시드 함유 도우M),132,322,13,-,-,12
베스트 콰트로 더블치즈엣지(오리지널 L),159,393,17,-,-,13
베스트 콰트로 더블치즈엣지(오리지널 M),160,384,19,-,-,7
베이컨체더치즈(오리지널 L),194,455,23,-,-,7
베이컨체더치즈(오리지널 M),114,311,14,-,-,4
베이컨체더치즈(나폴리L),129,356,18,-,-,5
베이컨체더치즈(나폴리M),176,465,24,-,-,5
베이컨체더치즈(씬 L),143,382,21,-,-,5
베이컨체더치즈(씬 M),147,437,22,-,-,4
베이컨체더치즈(슈퍼시드 함유 도우L),125,377,19,-,-,4
베이컨체더치즈(슈퍼시드 함유 도우M),113,307,14,-,-,6
베이컨체더치즈 더블치즈엣지(오리지널 L),129,355,17,-,-,7
베이컨체더치즈 더블치즈엣지(오리지널 M),135,364,18,-,-,4
불고기(오리지널 L),158,436,21,-,-,5
불고기(오리지널 M),121,291,15,-,-,6
불고기(나폴리L),129,319,16,-,-,6
