식품명,1회제공량,에너지(㎉),단백질(g),지방(g),탄수화물(g),총당류(g)
후레쉬 티 레몬 grande (iced),454,0,0,-,0,0
아카시아 꿀차 tall,369,289.86,3.63,7.08,51.31,21.81
아카시아 꿀차 grande,510,367.22,4.65,8.17,67.12,26.81
아카시아 꿀차 venti,680,449.58,5.67,9.26,82.93,31.81
바닐라 탐앤치노 tall,397,289.01,3.7,6.89,51.03,21.63
바닐라 탐앤치노 grande,454,366.37,4.72,7.98,66.84,26.63
바닐라 탐앤치노 venti,680,448.73,5.74,9.07,82.65,31.63
에스프레소 탐앤치노 tall,397,236.14,3.16,7.62,37.15,22.66
에스프레소 탐앤치노 grande,454,295.94,4.01,8.85,48.52,30.55
에스프레소 탐앤치노 venti,680,360.74,4.86,10.08,59.89,38.44
모카 탐앤치노 tall,397,303.19,4.54,7.54,53.87,31.79
모카 탐앤치노 grande,454,387.44,5.96,8.84,70.66,42.36
모카 탐앤치노 venti,680,476.69,7.38,10.13,87.45,52.92
캬라멜 탐앤치노 tall,397,324.54,3.94,8.27,56.91,33.58
캬라멜 탐앤치노 grande,454,426.84,5.17,9.81,77.78,46.72
캬라멜 탐앤치노 venti,680,512.74,6.38,11.34,93.32,55.07
시나몬 모카 탐앤치노 tall,397,261.69,3.45,6.2,46.54,39.16
시나몬 모카 탐앤치노 grande,454,315.19,4.35,7.1,56.84,47.96
시나몬 모카 탐앤치노 venti,680,373.69,5.25,8,67.14,56.76
그린민트 모카 탐앤치노 tall,397,333,4.03,8.9,205.32,25.63
그린민트 모카 탐앤치노 grande,454,411.96,5.05,10.31,291.14,30.63
그린민트 모카 탐앤치노 venti,680,495.92,6.07,11.72,376.96,35.63
그린 티 탐앤치노 tall,397,338,4.96,8.61,59.94,6.63
그린 티 탐앤치노 grande,454,405.22,6.36,10.3,71.6,8.63
그린 티 탐앤치노 venti,680,472.44,7.76,11.99,83.26,10.63
시나몬 초콜릿 탐앤치노 tall,397,339.89,5.55,8.67,58.66,50.02
시나몬 초콜릿  탐앤치노 grande,454,406.89,7.05,10.37,69.96,59.82
시나몬 초콜릿 탐앤치노 venti,680,473.89,8.55,12.07,81.26,69.62
그린민트 초콜릿 탐앤치노 tall,397,418.5,6.16,14.3,213.99,33.96
그린민트 초콜릿 탐앤치노 grande,454,520.96,7.85,17.11,301.95,41.03
그린민트 초콜릿 탐앤치노 venti,680,613.42,9.47,19.32,388.77,47.03
자바 칩 탐앤치노 tall,397,423.39,6.99,13.23,69.4,43.62
자바 칩 탐앤치노 grande,454,531.14,9.08,15.93,88.32,56.25
자바 칩 탐앤치노 venti,680,628.89,11.1,18.02,106.11,67.82
월넛치노 tall,397,621.7,11.35,21,98.33,76.33
월넛치노 grande,454,714.57,13.36,23.87,113.13,88.33
월넛치노 venti,680,807.44,15.37,26374,127.93,100.33
플레인 요거트 스무디 tall,397,297.3,7.87,5.36,54.58,34.7
플레인 요거트 스무디 grande,454,386.1,10.29,7.12,70.46,44.9
플레인 요거트 스무디 venti,680,461.4,12.11,8.08,85.34,54.1
프리미엄 요거트 스무디 tall,397,379,2.4,3.2,85,63
프리미엄 요거트 스무디 grande,454,450.75,2.7,3.6,101.7,75.3
프리미엄 요거트 스무디 venti,680,555,3,4,126.5,93.5
프리미엄 스무디 블루베리 tall,397,379,2.4,3.2,85,63
프리미엄 스무디 블루베리 grande,454,450.75,2.7,3.6,101.7,75.3
프리미엄 스무디 블루베리 venti,680,555,3,4,126.5,93.5
프리미엄 스무디 유자 tall,397,301.55,1.52,2.02,71.66,61.58
프리미엄 스무디 유자 grande,454,439.83,2.28,3.03,104.24,89.62
프리미엄 스무디 유자 venti,680,571.35,2.74,3.64,136.32,117.16
과일 요거트 스무디 tall,397,359,2.4,3.7,79,71
과일 요거트 스무디 grande,454,426.75,2.7,4.2,94.5,84.9
과일 요거트 스무디 venti,680,525,3,4.75,117.5,105.5
과일 스무디 딸기 tall,397,359,2.4,3.7,79,71
과일 스무디 딸기 grande,454,426.75,2.7,4.2,94.5,84.9
과일 스무디 딸기 venti,680,525,3,4.75,117.5,105.5
과일 스무디 망고 tall,397,354,2.4,3.7,77,69
과일 스무디 망고 grande,454,420.75,2.7,4.2,92.1,82.5
과일 스무디 망고 venti,680,517.5,3,4.75,114.5,102.5
홍시 스무디 tall,397,357.2,3.69,3.47,46.64,77.12
후레쉬 에이드 자몽 tall,397,149.65,0.35,-,37.5,35.4
후레쉬 에이드 자몽 grande,454,204.75,0.45,-,51.3,48.6
후레쉬 에이드 망고 venti,680,250.25,0.55,-,62.7,59.4
후레쉬 쥬스 오렌지 tall,397,105,0.5,-,26,23.5
후레쉬 쥬스 오렌지 grande,454,126,0.6,-,31.2,28.2
후레쉬 쥬스 오렌지 venti,680,147,0.7,-,36.4,32.9
후레쉬 에이드 레몬  tall,397,147.9,0.35,-,37.15,35.4
후레쉬 에이드 레몬  grande,454,202.5,0.45,-,50.85,48.6
후레쉬 에이드 레몬  venti,680,247.5,0.55,-,62.15,59.4
후레쉬 쥬스 자몽 tall,397,107.5,0.5,-,27,24
후레쉬 쥬스 자몽 grande,454,129,0.6,-,32.4,28.8
후레쉬 쥬스 자몽 venti,680,150.5,0.7,-,37.8,33.6
후레쉬 주스 오렌지 tall,397,105,0.5,-,26,23.5
후레쉬 주스 오렌지 grande,454,126,0.6,-,31.2,28.2
블루레몬 에이드 grande,454,292.6,0.62,0.15,73.15,71.47
아이스 티 복숭아 tall,397,179.34,0.42,-,44.1,41.79
아이스 티 복숭아 grande,454,256.2,0.6,-,63,59.7
아이스 티 복숭아 venti,680,315.98,0.74,-,77.7,73.63
아이스 티 레몬 tall,397,180.6,0.42,-,44.52,42.84
아이스 티 레몬 grande,454,258,0.6,-,63.6,61.2
아이스 티 레몬 venti,680,318.2,0.74,-,78.44,75.48
아이스 홍시 tall,397,173,0.66,0.15,26.65,41.35
국내산 과일주스 딸기 grande,454,276.2,1.29,0.37,69.94,52.12
유자에이드 tall,397,261.4,0,-,67.1,60.1
유자에이드 grande,454,380.6,0,-,97.9,86.9
유자에이드 venti,680,495,0,-,127.5,112.5
아이스블루스노우모카 R,410,321.9,4.9,-,-,41.9
아이스블루스노우모카 L,580,499.7,8.3,-,-,65.6
블루스노우모카 R,360,416.5,8.5,-,-,51.5
블루스노우모카 L,475,574.8,11,-,-,73.8
넘버 원 모카 R,378,463.7,8.1,-,-,63.3
넘버 원 모카 L,478,541,10.3,-,-,69
시나몬 크림 모카 R,251,225.7,7,-,-,32
시나몬 크림 모카 L,339,295.6,9.2,-,-,40.7
화이트 모카 R,354,394.8,7.3,-,-,48.6
화이트 모카 L,464,531.6,9.1,-,-,67.4
아이스 아메리카노 R,395,5,0,-,-,0
아이스 아메리카노 L,530,10,0,-,-,0
아메리카노 R,280,5,0,-,-,0
아메리카노 L,450,10,0,-,-,0
카페라떼 R,280,161,7.2,-,-,10.8
카페라떼 L,360,205,9,-,-,13.5
아이스 카페라떼R,395,122,5.4,-,-,8.1
아이스 카페라떼L,530,185.5,8.1,-,-,12.2
민트모카 R,369,482.9,10.3,-,-,50.3
민트모카 L,489,631.6,15.6,-,-,55.6
아이스 민트모카 R,424,404.9,6.7,-,-,44.9
아이스 민트모카 L,599,518.4,9.7,-,-,50.1
에스프레소 토피넛라떼 R,356,445.9,8.4,-,-,38.5
에스프레소 토피넛라떼 L,462,598.2,10.8,-,-,49.6
아이스 에스프레소 토피넛라떼 R,411,367.9,4.8,-,-,33.1
아이스 에스프레소 토피넛라떼 L,487,500.7,6.3,-,-,42.8
아이스 화이트모카 R,409,347.3,4.5,-,-,47.4
아이스 화이트모카 L,574,523.6,7.9,-,-,69.5
아이스 넘버원모카 R,403,366.2,3.6,-,-,56.5
아이스 넘버원모카 L,678,567.5,10.3,-,-,75.5
아이스 카라멜모카 R,409,427.6,7.9,-,-,49.6
아이스 카라멜모카 L,554,319.4,5,-,-,40.6
아이스 카페모카 R,409,319.4,5,-,-,40.6
아이스 카페모카 L,574,480.6,8.4,-,-,60.1
아이스 연라떼 R,281,158.5,4.5,-,-,5.6
아이스 연라떼 L,451,267.5,8.1,-,-,10.1
아이스 카라멜 마끼아또 R,274,136.7,2.5,-,-,18.8
아이스 카라멜 마끼아또 L,439,229.8,5.1,-,-,28.8
아이스 바닐라라떼 R,415,154,5.4,-,-,14.2
아이스 바닐라라떼 L,560,331.8,11.3,-,-,14
아이스 카푸치노 R,221,41.5,1.5,-,-,3.1
아이스 카푸치노 L,361,92,3.6,-,-,6.2
아이스 카라멜 라떼 R,415,187.6,5.4,-,-,20.5
아이스 카라멜 라떼 L,560,283.9,8.1,-,-,30.8
에스프레소,30,5,0,-,-,0
콘파냐,40,32,0,-,-,1.5
아포가토,105,108.4,1.6,-,-,10.1
카라멜 라떼 R,300,226.6,7.2,-,-,23.2
카라멜 라떼 L,360,303.4,9,-,-,32.1
바닐라라떼 R,300,193,7.2,-,-,16.9
바닐라라떼 L,390,253,9,-,-,22.7
연라떼 R,251,223.5,7.5,-,-,10.1
연라떼 L,346,316.2,10.4,-,-,13.4
카푸치노 R,221,126,5.4,-,-,8.9
카푸치노 L,301,170,7.2,-,-,11.6
카라멜 마끼아또 R,244,201.7,5.5,-,-,23.3
카라멜 마끼아또 L,334,278.5,7.3,-,-,32.2
카라멜모카 R,354,396.1,8,-,-,47.3
카라멜모카 L,464,539.1,11.1,-,-,64.1
딸기라떼 R,377,209.3,4.5,-,-,35.7
딸기라떼 L,473,286,4.4,-,-,56
진저라떼 R,280,265.4,7.2,-,-,35.2
진저라떼 L,360,359.1,9,-,-,50.1
캐시미어 초코 R,296,533.3,10.2,-,-,49.5
캐시미어 초코 L,421,785,14.9,-,-,70.1
토피넛 라떼 R,316,440.9,8.4,-,-,38.5
토피넛 라떼 L,402,588.2,10.8,-,-,49.6
아이스 화이트초코 라떼 R,396,333.2,4.5,-,-,44.8
아이스 화이트초코 라떼 L,610,543,9,-,-,71.4
아이스 초코 라떼 R,396,323.9,5.9,-,-,39.9
아이스 초코 라떼 L,601,489.9,9.7,-,-,60.1
아이스 토피넛 라떼 R,401,362.9,4.8,-,-,33.1
아이스 토피넛 라떼 L,497,490.7,6.3,-,-,42.8
아이스 고구마라떼 R,490,253.6,4.6,-,-,28.8
아이스 고구마라떼 L,545,398.8,7,-,-,46.2
고구마라떼 R,350,381.3,7.4,-,-,40.2
고구마라떼 L,440,519,11,-,-,53.5
오곡라떼 R,285,341.1,10.2,-,-,23.3
오곡라떼 L,368,474.3,13.5,-,-,32.8
아이스 그린티라떼 R,385,216.3,5.1,-,-,28.8
아이스 그린티라떼 L,530,334.2,8.1,-,-,43.8
아이스 오곡라떼 R,468,296.8,7,-,-,21
아이스 오곡라떼 L,523,470.1,11.2,-,-,33.2
녹차라떼 R,263,245.1,7.7,-,-,27.3
녹차라떼 L,330,313.8,9.6,-,-,35.5
아이스 홍차라떼 R,393,238.8,5.4,-,-,25.1
아이스 홍차라떼 L,508,334.3,7.5,-,-,35.1
시나몬 크림 초코 R,211,220.7,7,-,-,32
시나몬 크림 초코 L,324,285.3,9.2,-,-,40.6
아이스 시나몬크림초코 R,241,136.2,3.1,-,-,26.2
아이스 시나몬크림초코 L,384,207.3,5.6,-,-,35.2
홍차라떼 R,270,269,7.9,-,-,25.4
홍차라떼 L,345,364.5,10.1,-,-,35.5
리얼프리미엄 초코 R,301,478.1,11.3,-,-,35.6
리얼프리미엄 초코 L,451,715.1,16.9,-,-,53
리얼프리미엄 모카 R,274,462.6,8,-,-,33.9
리얼프리미엄 모카 L,424,712.1,12.7,-,-,51.4
리얼프리미엄 바닐라 R,243,336.9,6.5,-,-,30.4
리얼프리미엄 바닐라 L,355,509.1,11.2,-,-,45.3
초코 라떼 R,311,382.4,8.6,-,-,43.9
초코 라떼 L,401,519.1,11.1,-,-,62.1
아이스 민트초코 라떼 R,499,370.3,6,-,-,41.6
아이스 민트초코 라떼 L,531,443.6,7.7,-,-,43.4
민트초코 라떼 R,339,448.3,9.6,-,-,47
민트초코 라떼 L,436,513.6,11.3,-,-,47.3
화이트초코 라떼 R,311,391.7,7.2,-,-,48.9
화이트초코 라떼 L,410,543,9,-,-,71.4
수박 프로스트 R,525,161.6,14,-,-,186.1
수박 프로스트 L,725,242.4,21,-,-,279.15
청포도 프로스트 R,320,227.2,0,-,-,59.2
청포도 프로스트 L,430,374.4,0,-,-,97.4
초코 파르페,466,598.9,9.2,-,-,72.3
딸기치즈 프로스트 R,420,411.9,6,-,-,55.9
딸기치즈 프로스트 L,601,701.4,9.7,-,-,78.3
딸퐁 요거트 프로스트 R,497,427.4,6.6,-,-,68.8
딸퐁 요거트 프로스트 L,612,545,8.7,-,-,84
깔라만시 프로스트 R,405,319.1,4.3,-,-,59
깔라만시 프로스트 L,515,468.9,6,-,-,87.8
그래놀라요거트프로스트(블루베리) R,290,369.9,6.6,-,-,50.2
그래놀라요거트프로스트(블루베리) L,420,574.9,10.2,-,-,76.7
리얼 쿠앤크 쉐이크,380,382.8,3.7,-,-,47.7
리얼 블루베리 쉐이크,385,252.1,2.6,-,-,38.7
리얼 딸기 쉐이크,430,280.8,3.3,-,-,40.3
오리지널 바닐라 쉐이크,365,186.3,3.1,-,-,22
블루베리 버블 프로스트 R,383,366,2.5,-,-,47.4
블루베리 버블 프로스트 L,464,633.9,4.9,-,-,81.7
타로 버블 프로스트 R,383,371.9,2.7,-,-,45.8
타로 버블 프로스트 L,464,642.8,5.2,-,-,79.4
망고 버블 프로스트 R,383,360.2,2.5,-,-,52.4
망고 버블 프로스트 L,464,625.2,4.8,-,-,89.2
모카 프로스트 R,389,447.4,4.7,-,-,56.7
모카 프로스트 L,514,653.1,7.1,-,-,83
에스프레소 프로스트 R,345,304.7,2.4,-,-,31.3
에스프레소 프로스트 L,435,448.3,4.1,-,-,46.9
자바칩모카 프로스트 R,384,484.2,6.6,-,-,60
자바칩모카 프로스트 L,522,708.3,9.9,-,-,87.8
카라멜 프로스트 R,389,444.8,3.4,-,-,59.4
카라멜 프로스트 L,514,653.1,7.1,-,-,83
자바칩 프로스트 R,381,488.7,7.4,-,-,59.3
자바칩 프로스트 L,519,727.3,11.6,-,-,88.5
녹차 프로스트 R,401,360.7,5.5,-,-,44.9
녹차 프로스트 L,526,495.8,8,-,-,60.7
고구마 프로스트 R,475,448.7,6.5,-,-,53.5
고구마 프로스트 L,650,673.1,9.8,-,-,80.2
화이트 프로스트 R,374,490.9,4.5,-,-,71.3
화이트 프로스트 L,477,619.5,7.2,-,-,82.6
오곡프로스트 R,400,404.3,7.2,-,-,54.3
오곡프로스트 L,533,578.1,10,-,-,81.5
유자 프로스트 R,385,305.2,3.6,-,-,56.1
유자 프로스트 L,545,532.8,5.4,-,-,100.7
키위 프로스트 R,375,298.6,4.7,-,-,53.4
키위 프로스트 L,520,503,7.4,-,-,92.1
망고 프로스트 R,395,336.6,5,-,-,61.1
망고 프로스트 L,520,479,7.4,-,-,86.1
딸기 프로스트 R,375,276.9,4.7,-,-,53.4
딸기 프로스트 L,520,465,7.4,-,-,92.1
믹스베리 프로스트 R,395,330.9,3.6,-,-,62.5
믹스베리 프로스트 L,520,471,5.4,-,-,88.1
플레인 요거트 프로스트,370,253.1,5.7,-,-,39.6
딸기 요거트 프로스트 R,335,255.2,3.8,-,-,49.5
딸기 요거트 프로스트 L,455,382.8,5.6,-,-,74.3
키위 요거트 프로스트 R,335,266,3.8,-,-,49.5
키위 요거트 프로스트 L,455,399.1,5.6,-,-,74.3
망고 요거트 프로스트 R,335,259.2,3.8,-,-,47.8
망고 요거트 프로스트 L,455,388.8,5.6,-,-,71.7
청포도 에이드 R,365,107.2,0,-,-,27.7
청포도 에이드 L,525,187.2,0,-,-,48.7
깔라만시 팝핑에이드 R,405,105.4,0.3,-,-,17.8
깔라만시 팝핑에이드 L,600,187.3,0.5,-,-,30.4
깔라망코주스 R,410,170.4,0.2,-,-,37.8
깔라망코주스 L,590,243.9,0.2,-,-,54.1
오리지널 깔라만시 R,415,93.9,0.2,-,-,21.1
오리지널 깔라만시 L,590,140.8,0.4,-,-,31.7
유자몽 에이드 R,440,257.6,0,-,-,58.1
유자몽 에이드 L,650,386.4,0,-,-,87.2
허니코코망고 에이드,405,200,0,-,-,44
허니코코망고 에이드,575,300,0,-,-,66
블루 레몬 에이드 R,420,236.4,0,-,-,59.1
블루 레몬 에이드 L,590,269.6,0,-,-,67.4
레몬 에이드 L,590,251.6,0,-,-,62.6
자몽에이드 R,435,200,0,-,-,48
자몽에이드 L,620,300,0,-,-,72
석류 아이스티 R,400,180,0,-,-,41.6
석류 아이스티 L,568,270,0,-,-,62.4
핑크레몬에이드 R,400,180,0,-,-,36
핑크레몬에이드 L,568,270,0,-,-,54
블루베리에이드 R,400,180,0,-,-,40.5
블루베리에이드 L,568,270,0,-,-,60.8
딸기주스 R,360,170.5,1.1,-,-,37.9
딸기주스 L,515,255.8,1.7,-,-,56.8
오렌지주스 R,370,171.9,2.4,-,-,36.8
오렌지주스 L,575,279,3.9,-,-,59.4
키위쥬스 R,410,176.4,2.3,-,-,31.4
키위쥬스 L,590,264.6,3.4,-,-,47.1
바나나주스 R,390,273.1,4.7,-,-,39.5
바나나주스 L,575,419.4,7.4,-,-,59.9
토마토쥬스 R,370,99.4,2.2,-,-,20
토마토쥬스 L,575,157.2,3.7,-,-,31.1
하이포션 레몬그라스 R,405,163.1,0,-,-,36
하이포션 레몬그라스 L,573,244.7,0,-,-,0
하이포션 로즈플라워 R,405,112.5,0,-,-,24.8
하이포션 로즈플라워 L,572,168.8,0,-,-,37.1
깔라봉 차 R,310,146.9,0.1,-,-,34.6
깔라봉 차 L,495,220.4,0.2,-,-,51.8
자몽차 R,320,200,0,-,-,48
자몽차 L,510,300,0,-,-,72
로즈플라워,305,5,0,-,-,0
레몬그라스,305,5,0,-,-,0
얼그레이(홍차),305,5,0,-,-,0
다즐링(홍차),305,5,0,-,-,0
레몬차 R,320,200,0,-,-,48
레몬차 L,510,300,0,-,-,72
유자차 R,320,200,0,-,-,44
유자차 L,510,300,0,-,-,66
생강차 R,320,220,0,-,-,44
생강차 L,510,330,0,-,-,66
한라봉차 R,320,200,0,-,-,48
한라봉차 L,510,300,0,-,-,72
매실차 R,320,240,0,-,-,52
매실차 L,510,360,0,-,-,78
대추차 R,320,200,0,-,-,48
대추차 L,510,300,0,-,-,72
모과차 R,320,200,0,-,-,48
모과차 L,510,300,0,-,-,72
쟈스민(허브티),305,5,0,-,-,0
캐모마일(허브티),305,5,0,-,-,0
루이보스(허브티),305,5,0,-,-,0
페퍼민트(허브티),305,5,0,-,-,0
달콤파르페,481,497.3,5.6,-,-,40
화이트초콜릿라즈베리,100,114,2,-,-,11
민트초코칩,100,250,3.8,-,-,23.1
초코릿 엑스타시,100,132,2,-,-,15
카페 에스프레소,100,126,2,-,-,12
월넛버터 스카치,100,265,4.5,-,-,22.5
쿠키앤크림,100,130,2,-,-,12
바닐라클래식,100,115,2,-,-,11
레인보우,100,114,2,-,-,11
그린티,100,230,4.2,-,-,21.2
스트로베리,100,115,2,-,-,13
프룻포레스트 요거트,100,180,3.7,-,-,26.3
보이즌 베리드림,100,220,3,-,-,25.6
베리플릇 소르베,100,75,0,-,-,16
호키포키 바닐라,100,121,2,-,-,14
마마흑당눈꽃빙수,548,838.8,5.9,-,-,96.8
브라우니 눈꽃빙수,511,974.8,9.2,-,-,74.1
블루베리 치즈크림 눈꽃빙수,635,944.5,6.5,-,-,97.8
자두복숭아눈꽃빙수,665,621,0,-,-,57.3
타로눈꽃빙수,500,783.9,5.1,-,-,55.1
망고치즈눈꽃빙수,710,856,3.7,-,-,81.2
딸기치즈눈꽃빙수(일반),527,828.1,11.8,-,-,69.1
딸기치즈눈꽃빙수(우유),725,858.8,11.6,-,-,104.9
초코눈꽃빙수,525,1033.9,10.9,-,-,73
인절미눈꽃빙수,608,1075,17.3,-,-,76.1
쿠앤크눈꽃빙수(일반),718,1117.2,14.4,-,-,90.2
쿠앤크눈꽃빙수(우유),550,964.3,13.4,-,-,93.8
밀크눈꽃빙수(일반),735,893.8,18.4,-,-,73.3
밀크눈꽃빙수(우유),585,826.3,16.5,-,-,95.8
달달하구마빙수,656,888.8,13.6,-,-,69.7
딸기빙수,560,412,5.7,-,-,41.5
쿠키마우스빙수,592,919.1,7.9,-,-,86.7
컵커피빙수,280,238.7,4.2,-,-,20.4
컵딸기빙수,355,313.5,4.5,-,-,26.7
컵팥빙수,361,392.4,5.9,-,-,20.9
팥빙수,653,685.6,10.4,-,-,47
커피빙수,510,393.1,7.5,-,-,45.1
녹차빙수,470,391.2,6.2,-,-,45.9
바닐라품었슈,139,169.7,2.4,-,-,12.2
딸기탑 마마츄리,274,657.9,10.7,-,-,45.2
시나몬 멜츠 브레드,110,487,8,-,-,31
리치골드브레드,409,1263.2,53,-,-,32.9
허니치즈퐁당마마츄리,187,597,20.5,-,-,14.5
잉글리쉬머핀,120,262,14,-,-,4
치즈스틱케이크,45,106,2,-,-,7
고구마스틱케이크,45,106,2,-,-,7
블루베리스틱케이크,45,122,3,-,-,4
초코스틱케이크,45,146,3,-,-,9
초코 퐁당 마마츄리,205,670.6,9.9,-,-,38.7
블루베리 퐁당 마마츄리,230,611.1,9.3,-,-,28.8
라즈베리 퐁당 마마츄리,230,618.7,9.5,-,-,32
크로크무슈,140,388,10,-,-,16
플레인베이글,113,317.1,12,-,-,12.4
어니언베이글,113,328.7,11,-,-,14.9
크림치즈프레즐,99,250,8,-,-,5
블루베리베이글,113,345.6,12,-,-,18.1
스콘(건포도),90,437,5,-,-,19
스콘(시나몬호두),90,366,4,-,-,19
치즈번,60,235,4,-,-,10
모카번,60,240,4,-,-,4
초코머핀,140,560,11,-,-,39.5
블루베리머핀,140,571,7.9,-,-,40.5
마카다미아넛쿠키,38,185,2,-,-,12
록키로드쿠키,38,180,2,-,-,13
초콜렛칩청크쿠키,38,180,2,-,-,13
오트밀레이즌쿠키,38,170,2,-,-,13
플레인와플,110,351,3,-,-,16.4
카라멜월넛와플,123,403.7,3.5,-,-,23
초코와플,110,351,3,-,-,16.4
메이플아몬드와플,123,395.7,3.6,-,-,23.5
아이스크림와플,134,343.6,4,-,-,19.9
블루베리크림치즈와플,148,429.6,4.2,-,-,29.1
라즈베리바나나와플,240,505.2,4.3,-,-,53.9
스페셜마마와플,459,861,9.1,-,-,79.6
피넛버터브레드,297,1050.5,32.6,-,-,23.6
카라멜브레드,258,984,17.1,-,-,34.2
초콜릿브레드,273,708.8,38.4,-,-,130.4
갈릭치즈브레드,238,877.5,26.2,-,-,12.7
치즈크림 초콜릿 라떼,411,415,15,-,-,32
치즈크림 스트로베리 라떼,411,340,7,-,-,35
치즈크림 후르츠 피치 티,406,250,1,-,-,20
아이스 흑당 카페라떼,405,210,9,-,-,28
흑당 카페라떼,405,210,9,-,-,28
흑당 곡물라떼,390,265,14,-,-,22
아이스 흑당 곡물라떼,390,265,14,-,-,22
TWG 흑당 버블 밀크티,413,280,10,-,-,38
애플민트티,312,105,0,-,-,24
아이스 그나와 민트티,383,0,0,-,-,0
1837 블랙티(아이스),383,0,0,-,-,0
카모마일,383,0,0,-,-,0
크림 카라멜,383,0,0,-,-,0
프렌치 얼그레이,383,0,0,-,-,0
1837 블랙티,383,0,0,-,-,0
상그리아 에이드,505,250,0,-,-,0
레몬 셔벗 에이드,505,210,0,-,-,0
허니레몬 아이스티,361,105,0,-,-,23
오렌지자몽티,360,157,2,-,-,37
고구마 라떼,360,342,16,-,-,41
유자 레몬티,354,255,0,-,-,58
로얄 밀크티,354,290,60,-,-,30
롱블랙,280,10,2,-,-,0.7
아이스 롱블랙,300,10,2,-,-,0.7
제주 말차 프라페,420,410,16,-,-,61
아이스 숏라떼,300,110,12,-,-,2
로얄 밀크티 쉐이크,395,480,18,-,-,33
자몽 에이드,480,275,10,-,-,40
카라멜 마키아또 R,354,250,15,-,-,15
카라멜 마키아또 L,480,340,20,-,-,21
스트로베리 피치 프라페,420,265,2,-,-,58
오렌지 에이드,480,135,2,-,-,33
카페 아메리카노 R,354,15,2,-,-,0.7
카페 아메리카노 L,480,20,2,-,-,0.7
카푸치노 R,354,140,15,-,-,2
카푸치노 L,480,190,22,-,-,3
에스프레소 마키아또 더블,70,15,1,-,-,0
아이스 초콜릿 라떼 R,420,465,17,-,-,39
아이스 초콜릿 라떼 L,480,430,20,-,-,45
아이스 바닐라 라떼 R,420,235,15,-,-,36
아이스 바닐라 라떼 L,480,270,17,-,-,41
에스프레소 마키아또 싱글,35,10,1,-,-,0
카페 모카 R,354,295,15,-,-,25
카페 모카 L,480,405,22,-,-,35
아이스 커피 R,420,10,0,-,-,0
아이스 커피 L,480,10,0,-,-,0
아이스 카페 라떼 R,420,155,17,-,-,3
아이스 카페 라떼 L,480,175,20,-,-,3
에스프레소 콘 파나 더블,70,90,2,-,-,2.3
콜드브루,360,10,2,-,-,2
커피 쉐이크,420,460,12,-,-,47
아이스 그린티 라떼,420,270,18,-,-,20
아이스 카페 아메리카노 R,420,15,2,-,-,0
아이스 카페 아메리카노 L,480,20,2,-,-,0
카페 라떼 R,354,150,15,-,-,4
카페 라떼 L,480,200,22,-,-,5
콜드브루 라떼,360,75,7,-,-,7
초코 쉐이크,420,565,15,-,-,38
아이스 카페 모카 R,420,270,13,-,-,37
아이스 카페 모카 L,480,310,15,-,-,42
티라미수 라떼,360,522,18,-,-,20
바닐라 쉐이크,420,445,13,-,-,46
에스프레소 콘 파나 싱글,35,45,2,-,-,0.7
시그니처 라떼,237,235,7,-,-,5
바닐라 라떼 R,354,190,15,-,-,17
바닐라 라떼 L,480,260,20,-,-,24
숏라떼,280,115,12,-,-,2
요거 프라페 R,420,290,3,-,-,43
요거 프라페 L,480,330,5,-,-,49
아이스 카라멜 마키아또 R,420,190,13,-,-,14
아이스 카라멜 마키아또 L,480,215,15,-,-,16
초콜릿 라떼,354,260,17,-,-,37
에스프레소 싱글,30,5,1,-,-,1
버블 밀크티 R,420,300,10,-,-,36
버블 밀크티 L,480,340,12,-,-,41
모카칩 프라페 R,420,355,8,-,-,42
모카칩 프라페 L,480,410,10,-,-,48
그린티 라떼,354,255,19,-,-,20
오렌지 자몽 주스,480,115,7,-,-,22
카라멜 프라페 R,420,355,15,-,-,38
카라멜 프라페 L,480,385,17,-,-,43
에스프레소 더블,60,10,3,-,-,0
키위 바나나 주스,480,270,5,-,-,41
버블 그린티 라떼 R,420,345,1,-,-,23
버블 그린티 라떼 L,480,385,20,-,-,26
망고 프라페 R,420,305,3,-,-,56
망고 프라페 L,480,350,5,-,-,64
오늘의 커피 R,354,15,2,-,-,0
오늘의 커피 L,480,25,2,-,-,0
떠먹는 헤이즐넛 생크림 크레이프,179,585,13,-,-,40
모어 댄 쿠키 앤 크림,155,390,4,-,-,31
퀸즈 캐롯,179,575,12,-,-,36
비 마이 민트,157,500,16,-,-,27
비 마이 스트로베리,154,410,9,-,-,33
블랙 벨벳,151,525,10,-,-,40
딸기 생크림,117,305,7,-,-,27
카푸치노 생크림,157,435,7,-,-,21
유자 레몬 마카롱,25,105,2,-,-,11
초콜릿 크렘슈,120,355,9,-,-,0
마다가스카르 바닐라 마카롱,25,100,2,-,-,10
바닐라 크렘슈,126,360,11,-,-,18
생크림 피칸 타르트,105,410,11,-,-,27
생크림 소프트 쉬폰,82,310,33,-,-,12
러브 시그널,92,270,7,-,-,18
바닐라 크렘 브륄레,168,420,16,-,-,30
TWG 밀크티 쉬폰,106,280,7,-,-,26
더치 솔티드 카라멜,129,460,13,-,-,20
까망베르 치즈,97,385,11,-,-,17
떠먹는 스트로베리 초콜릿 생크림,71,205,5,-,-,12
떠먹는 티라미수,144,475,15,-,-,24
벨지안 가나슈,149,695,16,-,-,50
